subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
3jgga5t5rn,18696.59999999404,279066,5d7f74f4ed58b60016490887,0,666c46e7c5e3c3d3c53884d2,666c4b533a54d4f83ed68287,50%,10%,50%,80%,group,1,1,0,0,,,stim,c4
3jgga5t5rn,10971.40000000596,313804,5d7f74f4ed58b60016490887,,666c46e7c5e3c3d3c53884d2,666c4b533a54d4f83ed68287,,,,,,,,,,The lecturer did not talk about the paper,,ans,c4
3jgga5t5rn,7555.5999999940395,333178,5d7f74f4ed58b60016490887,0,666c46e7c5e3c3d3c53884d2,666c4b533a54d4f83ed68287,10%,50%,80%,50%,cook,0,0,0,1,,,stim,d1
3jgga5t5rn,23734.20000001788,368564,5d7f74f4ed58b60016490887,,666c46e7c5e3c3d3c53884d2,666c4b533a54d4f83ed68287,,,,,,,,,,The chef did not complete the main dish,,ans,d1
3jgga5t5rn,4438.0999999940395,377866,5d7f74f4ed58b60016490887,1,666c46e7c5e3c3d3c53884d2,666c4b533a54d4f83ed68287,50%,80%,50%,10%,group,1,1,0,1,,,stim,d6
3jgga5t5rn,10195.800000011921,396234,5d7f74f4ed58b60016490887,,666c46e7c5e3c3d3c53884d2,666c4b533a54d4f83ed68287,,,,,,,,,,The postdoc did not talk about the paper,,ans,d6
3jgga5t5rn,4613.299999982119,408276,5d7f74f4ed58b60016490887,0,666c46e7c5e3c3d3c53884d2,666c4b533a54d4f83ed68287,10%,50%,80%,50%,group,0,1,1,1,,,stim,d3
3jgga5t5rn,8374.199999988079,423880,5d7f74f4ed58b60016490887,,666c46e7c5e3c3d3c53884d2,666c4b533a54d4f83ed68287,,,,,,,,,,The postdoc talked about the paper,,ans,d3
3jgga5t5rn,4989.4000000059605,432418,5d7f74f4ed58b60016490887,0,666c46e7c5e3c3d3c53884d2,666c4b533a54d4f83ed68287,10%,50%,80%,50%,group,0,0,0,0,,,stim,c1
3jgga5t5rn,11955.90000000596,450578,5d7f74f4ed58b60016490887,,666c46e7c5e3c3d3c53884d2,666c4b533a54d4f83ed68287,,,,,,,,,,The lecturer did not attend,,ans,c1
3jgga5t5rn,11082.5,466588,5d7f74f4ed58b60016490887,0,666c46e7c5e3c3d3c53884d2,666c4b533a54d4f83ed68287,10%,70%,80%,50%,job,1,0,1,1,,,stim,d5
3jgga5t5rn,7596.9000000059605,480400,5d7f74f4ed58b60016490887,,666c46e7c5e3c3d3c53884d2,666c4b533a54d4f83ed68287,,,,,,,,,,The candidate had skill A,,ans,d5
3jgga5t5rn,3246.800000011921,488108,5d7f74f4ed58b60016490887,0,666c46e7c5e3c3d3c53884d2,666c4b533a54d4f83ed68287,10%,50%,80%,50%,job,0,1,0,1,,,stim,d2
3jgga5t5rn,7610.9000000059605,504548,5d7f74f4ed58b60016490887,,666c46e7c5e3c3d3c53884d2,666c4b533a54d4f83ed68287,,,,,,,,,,The candidate demonstrated skill B,,ans,d2
3jgga5t5rn,1701.3999999761581,518870,5d7f74f4ed58b60016490887,0,666c46e7c5e3c3d3c53884d2,666c4b533a54d4f83ed68287,10%,70%,80%,50%,cook,1,1,1,1,,,stim,d7
3jgga5t5rn,8755.59999999404,543006,5d7f74f4ed58b60016490887,,666c46e7c5e3c3d3c53884d2,666c4b533a54d4f83ed68287,,,,,,,,,,The main dish impressed the panel,,ans,d7
3jgga5t5rn,2326.7999999821186,550946,5d7f74f4ed58b60016490887,0,666c46e7c5e3c3d3c53884d2,666c4b533a54d4f83ed68287,10%,50%,80%,50%,cook,1,0,0,0,,,stim,c3
3jgga5t5rn,9395.90000000596,567579,5d7f74f4ed58b60016490887,,666c46e7c5e3c3d3c53884d2,666c4b533a54d4f83ed68287,,,,,,,,,,The dessert did not impress the panel,,ans,c3
3jgga5t5rn,2086.0999999940395,573832,5d7f74f4ed58b60016490887,1,666c46e7c5e3c3d3c53884d2,666c4b533a54d4f83ed68287,50%,80%,50%,10%,job,1,0,0,1,,,stim,d4
3jgga5t5rn,3238.199999988079,582181,5d7f74f4ed58b60016490887,,666c46e7c5e3c3d3c53884d2,666c4b533a54d4f83ed68287,,,,,,,,,,The candidate demonstrated skill A,,ans,d4
3jgga5t5rn,7459.800000011921,593616,5d7f74f4ed58b60016490887,1,666c46e7c5e3c3d3c53884d2,666c4b533a54d4f83ed68287,80%,50%,10%,70%,group,1,1,1,0,,,stim,c5
3jgga5t5rn,4750.300000011921,602389,5d7f74f4ed58b60016490887,,666c46e7c5e3c3d3c53884d2,666c4b533a54d4f83ed68287,,,,,,,,,,The postdoc attended,,ans,c5
3jgga5t5rn,2213.600000023842,609769,5d7f74f4ed58b60016490887,0,666c46e7c5e3c3d3c53884d2,666c4b533a54d4f83ed68287,10%,50%,80%,50%,group,0,1,0,0,,,stim,c2
3jgga5t5rn,3318.2000000178814,618438,5d7f74f4ed58b60016490887,,666c46e7c5e3c3d3c53884d2,666c4b533a54d4f83ed68287,,,,,,,,,,The lecturer did not attend,,ans,c2
3jgga5t5rn,19993.70000001788,639022,5d7f74f4ed58b60016490887,,666c46e7c5e3c3d3c53884d2,666c4b533a54d4f83ed68287,,,,,,,,,,,The images were disconcerting- especially the cooking ones. Not good- AI Art sucks. ,feedback,
