subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
7d9hmp5nn7,17966.69999998808,221206,5d5a75c570a7c1000152623e,0,666c46e7c5e3c3d3c53884d2,666c4ad3e90a07e04ca44a22,10%,70%,80%,50%,cook,0,0,0,0,,,stim,c1
7d9hmp5nn7,28770.399999976158,266202,5d5a75c570a7c1000152623e,,666c46e7c5e3c3d3c53884d2,666c4ad3e90a07e04ca44a22,,,,,,,,,,The chef did not complete the main dish,,ans,c1
7d9hmp5nn7,14426,289976,5d5a75c570a7c1000152623e,1,666c46e7c5e3c3d3c53884d2,666c4ad3e90a07e04ca44a22,80%,50%,10%,50%,job,0,1,0,0,,,stim,c2
7d9hmp5nn7,21899.70000001788,324798,5d5a75c570a7c1000152623e,,666c46e7c5e3c3d3c53884d2,666c4ad3e90a07e04ca44a22,,,,,,,,,,The candidate did not have skill A,,ans,c2
7d9hmp5nn7,7684.5,341676,5d5a75c570a7c1000152623e,1,666c46e7c5e3c3d3c53884d2,666c4ad3e90a07e04ca44a22,80%,50%,10%,50%,group,1,1,0,0,,,stim,c4
7d9hmp5nn7,15425.700000017881,370341,5d5a75c570a7c1000152623e,,666c46e7c5e3c3d3c53884d2,666c4ad3e90a07e04ca44a22,,,,,,,,,,The lecturer did not talk about the paper,,ans,c4
7d9hmp5nn7,3479.7000000178814,379140,5d5a75c570a7c1000152623e,1,666c46e7c5e3c3d3c53884d2,666c4ad3e90a07e04ca44a22,80%,50%,10%,50%,job,1,0,0,1,,,stim,d4
7d9hmp5nn7,9058.59999999404,394883,5d5a75c570a7c1000152623e,,666c46e7c5e3c3d3c53884d2,666c4ad3e90a07e04ca44a22,,,,,,,,,,The candidate did not have skill B,,ans,d4
7d9hmp5nn7,4009.2000000178814,403715,5d5a75c570a7c1000152623e,0,666c46e7c5e3c3d3c53884d2,666c4ad3e90a07e04ca44a22,10%,50%,80%,50%,job,1,1,1,0,,,stim,c5
7d9hmp5nn7,15394.600000023842,431571,5d5a75c570a7c1000152623e,,666c46e7c5e3c3d3c53884d2,666c4ad3e90a07e04ca44a22,,,,,,,,,,The candidate demonstrated skill A,,ans,c5
7d9hmp5nn7,2260.300000011921,438090,5d5a75c570a7c1000152623e,0,666c46e7c5e3c3d3c53884d2,666c4ad3e90a07e04ca44a22,10%,50%,80%,50%,job,1,0,0,0,,,stim,c3
7d9hmp5nn7,16630.29999998212,465179,5d5a75c570a7c1000152623e,,666c46e7c5e3c3d3c53884d2,666c4ad3e90a07e04ca44a22,,,,,,,,,,The candidate did not have skill B,,ans,c3
7d9hmp5nn7,3329.800000011921,473413,5d5a75c570a7c1000152623e,1,666c46e7c5e3c3d3c53884d2,666c4ad3e90a07e04ca44a22,80%,50%,10%,70%,cook,0,0,0,1,,,stim,d1
7d9hmp5nn7,6553.199999988079,492395,5d5a75c570a7c1000152623e,,666c46e7c5e3c3d3c53884d2,666c4ad3e90a07e04ca44a22,,,,,,,,,,The chef did not complete the dessert,,ans,d1
7d9hmp5nn7,1764.9000000059605,499027,5d5a75c570a7c1000152623e,0,666c46e7c5e3c3d3c53884d2,666c4ad3e90a07e04ca44a22,50%,10%,50%,80%,cook,0,1,0,1,,,stim,d2
7d9hmp5nn7,9106.59999999404,516686,5d5a75c570a7c1000152623e,,666c46e7c5e3c3d3c53884d2,666c4ad3e90a07e04ca44a22,,,,,,,,,,The chef did not complete the main dish,,ans,d2
7d9hmp5nn7,5378.9000000059605,526525,5d5a75c570a7c1000152623e,0,666c46e7c5e3c3d3c53884d2,666c4ad3e90a07e04ca44a22,10%,50%,80%,50%,cook,1,1,1,1,,,stim,d7
7d9hmp5nn7,12249.800000011921,546731,5d5a75c570a7c1000152623e,,666c46e7c5e3c3d3c53884d2,666c4ad3e90a07e04ca44a22,,,,,,,,,,The main dish impressed the panel,,ans,d7
7d9hmp5nn7,2781.9000000059605,555095,5d5a75c570a7c1000152623e,1,666c46e7c5e3c3d3c53884d2,666c4ad3e90a07e04ca44a22,80%,50%,10%,50%,group,1,0,1,1,,,stim,d5
7d9hmp5nn7,9553.90000000596,580269,5d5a75c570a7c1000152623e,,666c46e7c5e3c3d3c53884d2,666c4ad3e90a07e04ca44a22,,,,,,,,,,The lecturer talked about the paper,,ans,d5
7d9hmp5nn7,2480.7999999821186,589461,5d5a75c570a7c1000152623e,0,666c46e7c5e3c3d3c53884d2,666c4ad3e90a07e04ca44a22,50%,10%,50%,80%,cook,1,1,0,1,,,stim,d6
7d9hmp5nn7,7163.5,613661,5d5a75c570a7c1000152623e,,666c46e7c5e3c3d3c53884d2,666c4ad3e90a07e04ca44a22,,,,,,,,,,The main dish did not impress the panel,,ans,d6
7d9hmp5nn7,5258,624560,5d5a75c570a7c1000152623e,1,666c46e7c5e3c3d3c53884d2,666c4ad3e90a07e04ca44a22,80%,50%,10%,50%,group,0,1,1,1,,,stim,d3
7d9hmp5nn7,5879.299999982119,638011,5d5a75c570a7c1000152623e,,666c46e7c5e3c3d3c53884d2,666c4ad3e90a07e04ca44a22,,,,,,,,,,The postdoc talked about the paper,,ans,d3
7d9hmp5nn7,26994.100000023842,665519,5d5a75c570a7c1000152623e,,666c46e7c5e3c3d3c53884d2,666c4ad3e90a07e04ca44a22,,,,,,,,,,,Thank you. This looks like really interesting research. I hope that it goes well.,feedback,
