subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
bbarzecvfw,18509.59999999404,296529,5932e2c8b97ad00001745487,1,666c46e7c5e3c3d3c53884d2,666c498968ebb34e216b49c9,50%,80%,50%,10%,job,1,0,0,0,,,stim,c3
bbarzecvfw,22578.09999999404,352086,5932e2c8b97ad00001745487,,666c46e7c5e3c3d3c53884d2,666c498968ebb34e216b49c9,,,,,,,,,,The candidate did not have skill B,,ans,c3
bbarzecvfw,17023.40000000596,406778,5932e2c8b97ad00001745487,1,666c46e7c5e3c3d3c53884d2,666c498968ebb34e216b49c9,80%,50%,10%,70%,cook,1,0,1,1,,,stim,d5
bbarzecvfw,25381.40000000596,452908,5932e2c8b97ad00001745487,,666c46e7c5e3c3d3c53884d2,666c498968ebb34e216b49c9,,,,,,,,,,The chef did not complete the dessert,,ans,d5
bbarzecvfw,12436.5,484890,5932e2c8b97ad00001745487,0,666c46e7c5e3c3d3c53884d2,666c498968ebb34e216b49c9,50%,10%,50%,80%,cook,1,1,0,1,,,stim,d6
bbarzecvfw,11458.09999999404,513700,5932e2c8b97ad00001745487,,666c46e7c5e3c3d3c53884d2,666c498968ebb34e216b49c9,,,,,,,,,,The main dish did not impress the panel,,ans,d6
bbarzecvfw,17542.80000001192,579429,5932e2c8b97ad00001745487,0,666c46e7c5e3c3d3c53884d2,666c498968ebb34e216b49c9,10%,50%,80%,50%,group,1,1,0,0,,,stim,c4
bbarzecvfw,27161.59999999404,622398,5932e2c8b97ad00001745487,,666c46e7c5e3c3d3c53884d2,666c498968ebb34e216b49c9,,,,,,,,,,The postdoc attended,,ans,c4
bbarzecvfw,9602.90000000596,640407,5932e2c8b97ad00001745487,1,666c46e7c5e3c3d3c53884d2,666c498968ebb34e216b49c9,80%,50%,10%,50%,group,0,1,0,0,,,stim,c2
bbarzecvfw,14464.90000000596,665179,5932e2c8b97ad00001745487,,666c46e7c5e3c3d3c53884d2,666c498968ebb34e216b49c9,,,,,,,,,,The lecturer did not attend,,ans,c2
bbarzecvfw,12520.199999988079,686211,5932e2c8b97ad00001745487,1,666c46e7c5e3c3d3c53884d2,666c498968ebb34e216b49c9,50%,80%,50%,10%,job,0,0,0,1,,,stim,d1
bbarzecvfw,22701.69999998808,725227,5932e2c8b97ad00001745487,,666c46e7c5e3c3d3c53884d2,666c498968ebb34e216b49c9,,,,,,,,,,The candidate did not have skill A,,ans,d1
bbarzecvfw,3297.7999999821186,732931,5932e2c8b97ad00001745487,1,666c46e7c5e3c3d3c53884d2,666c498968ebb34e216b49c9,50%,80%,50%,10%,group,1,1,1,0,,,stim,c5
bbarzecvfw,16775.90000000596,755598,5932e2c8b97ad00001745487,,666c46e7c5e3c3d3c53884d2,666c498968ebb34e216b49c9,,,,,,,,,,The lecturer attended,,ans,c5
bbarzecvfw,2125.199999988079,761424,5932e2c8b97ad00001745487,0,666c46e7c5e3c3d3c53884d2,666c498968ebb34e216b49c9,10%,70%,80%,50%,group,0,0,0,0,,,stim,c1
bbarzecvfw,7562.9000000059605,775478,5932e2c8b97ad00001745487,,666c46e7c5e3c3d3c53884d2,666c498968ebb34e216b49c9,,,,,,,,,,The postdoc did not attend,,ans,c1
bbarzecvfw,3403.7000000178814,789192,5932e2c8b97ad00001745487,0,666c46e7c5e3c3d3c53884d2,666c498968ebb34e216b49c9,10%,50%,80%,50%,cook,0,1,1,1,,,stim,d3
bbarzecvfw,8148.800000011921,806086,5932e2c8b97ad00001745487,,666c46e7c5e3c3d3c53884d2,666c498968ebb34e216b49c9,,,,,,,,,,The chef completed the dessert,,ans,d3
bbarzecvfw,2011.2000000178814,814469,5932e2c8b97ad00001745487,1,666c46e7c5e3c3d3c53884d2,666c498968ebb34e216b49c9,80%,50%,10%,70%,job,1,1,1,1,,,stim,d7
bbarzecvfw,8263,827918,5932e2c8b97ad00001745487,,666c46e7c5e3c3d3c53884d2,666c498968ebb34e216b49c9,,,,,,,,,,The candidate had skill A,,ans,d7
bbarzecvfw,2139.9000000059605,839453,5932e2c8b97ad00001745487,1,666c46e7c5e3c3d3c53884d2,666c498968ebb34e216b49c9,80%,50%,10%,70%,group,0,1,0,1,,,stim,d2
bbarzecvfw,6948.4000000059605,853333,5932e2c8b97ad00001745487,,666c46e7c5e3c3d3c53884d2,666c498968ebb34e216b49c9,,,,,,,,,,The lecturer did not attend,,ans,d2
bbarzecvfw,2033.300000011921,860305,5932e2c8b97ad00001745487,0,666c46e7c5e3c3d3c53884d2,666c498968ebb34e216b49c9,50%,10%,50%,80%,group,1,0,0,1,,,stim,d4
bbarzecvfw,5167.5,871554,5932e2c8b97ad00001745487,,666c46e7c5e3c3d3c53884d2,666c498968ebb34e216b49c9,,,,,,,,,,The postdoc did not attend,,ans,d4
bbarzecvfw,7661.699999988079,879719,5932e2c8b97ad00001745487,,666c46e7c5e3c3d3c53884d2,666c498968ebb34e216b49c9,,,,,,,,,,,no comments,feedback,
