"","mindsCode","situTag","Preference","Knowledge","Character","Start","short_vis","long_vis","short_inv","long_inv"
"1","M022744","1110","Hot dogs","Yes","Sporty","Pizza visible",3,1,7,4
"2","M022744","1010","Hot dogs","No","Sporty","Pizza visible",4,1,6,3
"3","M022744","0111","Absent","Yes","Sporty","Hot dogs visible",6,3,6,4
"4","M022744","1001","Hot dogs","No","Lazy","Hot dogs visible",7,2,1,1
"5","M022744","1111","Hot dogs","Yes","Sporty","Hot dogs visible",7,5,1,1
"6","M022744","0110","Absent","Yes","Sporty","Pizza visible",5,4,4,4
"7","M022744","1100","Hot dogs","Yes","Lazy","Pizza visible",5,1,7,2
"8","M022744","1101","Hot dogs","Yes","Lazy","Hot dogs visible",7,3,1,1
"9","M022744","1011","Hot dogs","No","Sporty","Hot dogs visible",7,5,2,1
"10","M022744","0011","Absent","No","Sporty","Hot dogs visible",6,4,5,4
"11","M022744","0001","Absent","No","Lazy","Hot dogs visible",7,1,7,2
"12","M022744","0101","Absent","Yes","Lazy","Hot dogs visible",7,1,7,2
"13","M022744","0010","Absent","No","Sporty","Pizza visible",5,4,5,4
"14","M022744","1000","Hot dogs","No","Lazy","Pizza visible",4,1,7,5
"15","M022744","0000","Absent","No","Lazy","Pizza visible",7,1,7,1
"16","M022744","0100","Absent","Yes","Lazy","Pizza visible",7,1,7,2
"17","M008954","1110","Hot dogs","Yes","Sporty","Pizza visible",4,3,5,5
"18","M008954","0000","Absent","No","Lazy","Pizza visible",7,2,4,1
"19","M008954","1000","Hot dogs","No","Lazy","Pizza visible",7,1,4,2
"20","M008954","0011","Absent","No","Sporty","Hot dogs visible",2,4,3,4
"21","M008954","0110","Absent","Yes","Sporty","Pizza visible",2,5,3,4
"22","M008954","1101","Hot dogs","Yes","Lazy","Hot dogs visible",4,1,4,2
"23","M008954","1010","Hot dogs","No","Sporty","Pizza visible",4,5,3,4
"24","M008954","1100","Hot dogs","Yes","Lazy","Pizza visible",4,2,3,3
"25","M008954","0101","Absent","Yes","Lazy","Hot dogs visible",5,1,4,3
"26","M008954","0100","Absent","Yes","Lazy","Pizza visible",5,1,4,3
"27","M008954","1001","Hot dogs","No","Lazy","Hot dogs visible",5,1,4,3
"28","M008954","0111","Absent","Yes","Sporty","Hot dogs visible",2,5,3,5
"29","M008954","1111","Hot dogs","Yes","Sporty","Hot dogs visible",3,5,3,4
"30","M008954","0010","Absent","No","Sporty","Pizza visible",3,4,3,4
"31","M008954","1011","Hot dogs","No","Sporty","Hot dogs visible",2,1,4,4
"32","M008954","0001","Absent","No","Lazy","Hot dogs visible",6,1,3,2
"33","M639152","1001","Hot dogs","No","Lazy","Hot dogs visible",3,4,4,2
"34","M639152","0101","Absent","Yes","Lazy","Hot dogs visible",3,5,4,3
"35","M639152","1100","Hot dogs","Yes","Lazy","Pizza visible",4,3,7,6
"36","M639152","0110","Absent","Yes","Sporty","Pizza visible",3,2,6,4
"37","M639152","1000","Hot dogs","No","Lazy","Pizza visible",4,3,2,5
"38","M639152","1111","Hot dogs","Yes","Sporty","Hot dogs visible",3,4,6,2
"39","M639152","0100","Absent","Yes","Lazy","Pizza visible",7,6,4,3
"40","M639152","0010","Absent","No","Sporty","Pizza visible",2,7,4,3
"41","M639152","0011","Absent","No","Sporty","Hot dogs visible",3,6,5,2
"42","M639152","0001","Absent","No","Lazy","Hot dogs visible",4,3,3,2
"43","M639152","0111","Absent","Yes","Sporty","Hot dogs visible",6,4,4,3
"44","M639152","0000","Absent","No","Lazy","Pizza visible",1,6,4,3
"45","M639152","1110","Hot dogs","Yes","Sporty","Pizza visible",4,6,6,7
"46","M639152","1011","Hot dogs","No","Sporty","Hot dogs visible",5,3,5,3
"47","M639152","1010","Hot dogs","No","Sporty","Pizza visible",3,5,4,2
"48","M639152","1101","Hot dogs","Yes","Lazy","Hot dogs visible",4,5,2,6
"49","M196741","1111","Hot dogs","Yes","Sporty","Hot dogs visible",3,7,1,1
"50","M196741","1010","Hot dogs","No","Sporty","Pizza visible",1,1,5,7
"51","M196741","1110","Hot dogs","Yes","Sporty","Pizza visible",1,1,4,7
"52","M196741","1101","Hot dogs","Yes","Lazy","Hot dogs visible",7,1,1,1
"53","M196741","0000","Absent","No","Lazy","Pizza visible",7,1,2,1
"54","M196741","0100","Absent","Yes","Lazy","Pizza visible",7,1,3,1
"55","M196741","1100","Hot dogs","Yes","Lazy","Pizza visible",3,1,7,1
"56","M196741","0111","Absent","Yes","Sporty","Hot dogs visible",1,7,4,7
"57","M196741","0101","Absent","Yes","Lazy","Hot dogs visible",7,1,4,1
"58","M196741","0001","Absent","No","Lazy","Hot dogs visible",7,1,4,1
"59","M196741","1001","Hot dogs","No","Lazy","Hot dogs visible",7,1,2,1
"60","M196741","0011","Absent","No","Sporty","Hot dogs visible",1,7,4,7
"61","M196741","1000","Hot dogs","No","Lazy","Pizza visible",5,1,7,1
"62","M196741","0110","Absent","Yes","Sporty","Pizza visible",1,7,3,6
"63","M196741","1011","Hot dogs","No","Sporty","Hot dogs visible",3,7,2,1
"64","M196741","0010","Absent","No","Sporty","Pizza visible",1,7,4,7
"65","M022498","0100","Absent","Yes","Lazy","Pizza visible",7,1,3,1
"66","M022498","0001","Absent","No","Lazy","Hot dogs visible",7,1,6,4
"67","M022498","1110","Hot dogs","Yes","Sporty","Pizza visible",3,1,6,4
"68","M022498","0110","Absent","Yes","Sporty","Pizza visible",5,4,5,3
"69","M022498","0101","Absent","Yes","Lazy","Hot dogs visible",6,1,5,2
"70","M022498","1101","Hot dogs","Yes","Lazy","Hot dogs visible",6,1,5,4
"71","M022498","1011","Hot dogs","No","Sporty","Hot dogs visible",7,1,5,2
"72","M022498","1001","Hot dogs","No","Lazy","Hot dogs visible",7,1,6,3
"73","M022498","0011","Absent","No","Sporty","Hot dogs visible",6,1,4,2
"74","M022498","1111","Hot dogs","Yes","Sporty","Hot dogs visible",6,1,4,2
"75","M022498","0000","Absent","No","Lazy","Pizza visible",7,1,4,2
"76","M022498","0010","Absent","No","Sporty","Pizza visible",6,1,4,2
"77","M022498","1100","Hot dogs","Yes","Lazy","Pizza visible",3,1,7,4
"78","M022498","0111","Absent","Yes","Sporty","Hot dogs visible",6,1,4,4
"79","M022498","1000","Hot dogs","No","Lazy","Pizza visible",7,1,5,1
"80","M022498","1010","Hot dogs","No","Sporty","Pizza visible",4,1,5,3
"81","M817003","1011","Hot dogs","No","Sporty","Hot dogs visible",7,1,3,1
"82","M817003","0011","Absent","No","Sporty","Hot dogs visible",7,1,4,1
"83","M817003","0111","Absent","Yes","Sporty","Hot dogs visible",7,2,5,2
"84","M817003","1100","Hot dogs","Yes","Lazy","Pizza visible",5,1,7,1
"85","M817003","0000","Absent","No","Lazy","Pizza visible",7,1,3,1
"86","M817003","1000","Hot dogs","No","Lazy","Pizza visible",6,1,5,3
"87","M817003","0110","Absent","Yes","Sporty","Pizza visible",7,1,4,2
"88","M817003","0100","Absent","Yes","Lazy","Pizza visible",7,1,4,1
"89","M817003","0101","Absent","Yes","Lazy","Hot dogs visible",6,1,5,1
"90","M817003","1110","Hot dogs","Yes","Sporty","Pizza visible",5,1,0,4
"91","M817003","0010","Absent","No","Sporty","Pizza visible",7,2,5,2
"92","M817003","0001","Absent","No","Lazy","Hot dogs visible",7,1,4,1
"93","M817003","1111","Hot dogs","Yes","Sporty","Hot dogs visible",7,3,4,1
"94","M817003","1101","Hot dogs","Yes","Lazy","Hot dogs visible",7,2,2,1
"95","M817003","1001","Hot dogs","No","Lazy","Hot dogs visible",7,1,2,1
"96","M817003","1010","Hot dogs","No","Sporty","Pizza visible",7,1,5,4
"97","M315945","0010","Absent","No","Sporty","Pizza visible",7,7,6,3
"98","M315945","1111","Hot dogs","Yes","Sporty","Hot dogs visible",7,7,4,5
"99","M315945","1000","Hot dogs","No","Lazy","Pizza visible",5,5,7,7
"100","M315945","0101","Absent","Yes","Lazy","Hot dogs visible",7,7,5,4
"101","M315945","1110","Hot dogs","Yes","Sporty","Pizza visible",4,5,0,7
"102","M315945","0111","Absent","Yes","Sporty","Hot dogs visible",7,6,3,5
"103","M315945","1010","Hot dogs","No","Sporty","Pizza visible",3,5,6,7
"104","M315945","1101","Hot dogs","Yes","Lazy","Hot dogs visible",7,7,2,3
"105","M315945","0100","Absent","Yes","Lazy","Pizza visible",3,2,6,7
"106","M315945","0011","Absent","No","Sporty","Hot dogs visible",7,7,3,5
"107","M315945","0001","Absent","No","Lazy","Hot dogs visible",7,7,5,3
"108","M315945","1011","Hot dogs","No","Sporty","Hot dogs visible",7,7,3,3
"109","M315945","1100","Hot dogs","Yes","Lazy","Pizza visible",3,5,7,7
"110","M315945","1001","Hot dogs","No","Lazy","Hot dogs visible",4,3,5,2
"111","M315945","0110","Absent","Yes","Sporty","Pizza visible",2,6,3,4
"112","M315945","0000","Absent","No","Lazy","Pizza visible",7,2,5,3
"113","M106707","0111","Absent","Yes","Sporty","Hot dogs visible",5,3,5,3
"114","M106707","0100","Absent","Yes","Lazy","Pizza visible",6,2,2,2
"115","M106707","0000","Absent","No","Lazy","Pizza visible",6,2,3,2
"116","M106707","1111","Hot dogs","Yes","Sporty","Hot dogs visible",7,1,2,1
"117","M106707","0010","Absent","No","Sporty","Pizza visible",3,3,3,4
"118","M106707","1001","Hot dogs","No","Lazy","Hot dogs visible",6,5,1,1
"119","M106707","0011","Absent","No","Sporty","Hot dogs visible",5,4,4,4
"120","M106707","0101","Absent","Yes","Lazy","Hot dogs visible",6,2,3,2
"121","M106707","1000","Hot dogs","No","Lazy","Pizza visible",2,1,5,3
"122","M106707","1110","Hot dogs","Yes","Sporty","Pizza visible",2,2,6,3
"123","M106707","1101","Hot dogs","Yes","Lazy","Hot dogs visible",6,2,2,1
"124","M106707","0001","Absent","No","Lazy","Hot dogs visible",4,3,3,3
"125","M106707","1011","Hot dogs","No","Sporty","Hot dogs visible",6,3,2,2
"126","M106707","1100","Hot dogs","Yes","Lazy","Pizza visible",2,1,6,2
"127","M106707","1010","Hot dogs","No","Sporty","Pizza visible",2,1,6,2
"128","M106707","0110","Absent","Yes","Sporty","Pizza visible",5,2,5,2
