"","br_f=0","br_f=1","br_p=0","br_p=1","C=0","C=1","Cu=0","Cu=1","K=0","K=1","Ku_f=0","Ku_f=1","Ku_p=0","Ku_p=1","P=0","P=1","Pu_f=0","Pu_f=1","Pu_p=0","Pu_p=1","S=0","S=1","Su=0","Su=1"
"t000000",0,0,3,0,20,0,0,0,0,0,3,0,0,1,1,0,1,0,0,0,0,0,3,0
"t000001",1,0,0,1,1,4,0,0,11,0,1,0,2,0,5,0,4,0,0,0,0,0,0,0
"t000010",0,0,2,1,3,0,0,0,3,0,4,0,0,1,1,6,0,10,0,0,0,0,0,2
"t000011",0,2,0,1,2,0,0,0,6,0,0,0,3,0,0,8,0,6,0,0,0,0,0,1
"t000100",0,0,2,2,10,0,0,0,3,0,2,0,0,0,8,0,2,0,0,0,0,0,1,0
"t000101",2,0,0,0,0,0,0,1,8,0,1,0,2,0,10,0,7,0,0,0,0,0,0,0
"t000110",0,0,0,0,14,0,0,0,2,0,4,0,0,0,0,1,0,1,0,0,0,1,1,7
"t000111",0,1,0,1,1,1,0,3,16,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0
"t001000",0,0,0,0,0,1,0,0,4,0,6,1,1,1,3,0,2,0,0,2,0,0,10,0
"t001001",0,0,0,3,0,15,0,5,5,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
"t001010",0,1,1,2,0,4,0,2,8,0,0,0,0,0,0,5,0,5,0,0,0,0,0,4
"t001011",0,0,0,3,0,14,0,3,3,0,0,0,1,0,1,2,0,3,0,0,0,0,0,1
"t001100",0,0,1,1,1,5,0,1,7,0,3,0,0,0,5,0,6,0,0,0,0,0,1,0
"t001101",0,0,0,2,0,9,0,6,4,0,0,0,0,0,3,0,6,0,0,0,0,0,1,0
"t001110",0,0,0,0,0,0,1,0,8,0,4,0,0,0,0,3,0,1,0,1,0,0,0,12
"t001111",0,0,0,3,0,15,0,6,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"t010000",0,0,0,0,22,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,3,1
"t010001",3,0,0,6,1,1,1,4,1,1,3,0,0,0,3,0,6,1,0,0,0,0,0,1
"t010010",0,0,1,0,3,0,0,0,0,1,0,1,0,2,0,10,0,12,0,0,0,0,0,0
"t010011",0,2,0,4,0,1,0,4,0,1,2,0,0,0,0,7,1,5,0,0,0,0,0,3
"t010100",0,0,2,0,3,0,0,0,0,3,1,4,0,0,8,0,9,0,0,0,0,0,2,0
"t010101",2,0,1,3,0,0,0,4,0,0,1,0,0,1,7,0,10,0,0,0,0,0,1,1
"t010110",0,0,1,0,19,0,0,0,0,0,0,1,0,2,0,3,0,2,0,1,0,0,0,3
"t010111",0,1,0,5,2,0,0,10,2,1,1,0,1,0,0,2,0,3,0,0,0,0,0,1
"t011000",0,0,1,0,5,0,1,0,1,2,0,3,0,1,6,0,6,0,0,3,0,0,4,0
"t011001",0,0,0,3,0,14,0,8,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0
"t011010",0,0,1,0,0,2,0,3,0,2,0,0,0,3,0,9,0,10,0,0,0,0,0,1
"t011011",0,0,0,0,0,17,0,8,1,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0
"t011100",1,0,0,0,3,2,0,1,0,1,0,1,0,3,6,0,11,0,0,0,1,0,1,0
"t011101",1,0,0,0,0,13,0,7,0,1,0,0,1,0,3,1,5,0,0,0,0,0,0,0
"t011110",0,0,4,0,0,1,3,0,0,2,0,0,0,2,0,8,0,7,0,0,0,0,0,4
"t011111",0,0,0,0,0,18,0,9,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"t100000",0,0,0,0,18,0,0,0,1,0,4,0,0,0,2,0,0,0,0,0,0,0,5,1
"t100001",5,0,0,5,1,1,0,0,12,0,3,0,0,0,2,0,3,0,0,0,0,0,0,0
