response,Food general,Character general,Knowledge of area,Location,Food specific,Character specific,Disrupt knowledge,Situation ,random,Discard
They wanted to see if anything else was available.,,,,1,,,,,,
They couldn't see the hot dogs so went for the convenient option.,,,,1,,,,,,
They wanted a long walk to see what else was available,,,,,,1,,,,
They didn't like hot dogs so went to find something else.,1,,,,,,,,,
They love hot dogs so went straight there,1,,,,,,,,,
They wanted to go for a long walk,,,,,,1,,,,
They wanted a longer walk and knew there were hot dogs available,,,,,,1,,,,
They wanted to see what else was available,,,1,,,,,,,
Charlie can't be bothered walking to the pizza stand and goes to the closest stand which is the hot dog stand.,,,,1,,,,,,
He doesn't know that the pizza stand is round the corner.,,,1,,,,,,,
Harper walks past the hot dog stand as he is lazy and he didn't notice it.,,1,,,,,,,,
Taylor wants a hotdog.,,,,,1,,,,,
Drew knows where the pizza stand is but takes the longer route for some extra exercise before his pizza.,,,1,,,,,,,
His favourite food is hot dogs and went straight there.,1,,,,,,,,,
Adrian gets lost and ends up taking the longer route to the hot dog stand.,,,,,,,1,,,
Parker is too lazy to walk to the hotdog stand.,,1,,,,,,,,
He wanted to explore the area before eating.,,,,,,,1,,,
They were too lazy to explore so just got pizza.,,1,,,1,,,,,
He felt like going for a walk and wanted pizza.,1,,,,1,,,,,
Hot dogs are their favourite food.,1,,,,,,,,,
His favourite food might be pizza.,1,,,,,,,,,
He may not have known pizza was just as close and was too lazy to find out.,,1,1,1,,,,,,
They wanted to go for a long walk before eating.,,,,,,1,,,,
Wanted to check what the pizza van was offering before getting hot dogs as usual.,,,,,1,,,,,
Charlie wanted to get some exercise in because he know he is generally lazy,,1,1,,,,,,,
Brooklyn wanted pizza and kept walking until he found it.,,,,,1,,,,,
Saw the pizza stand was close and went since Adrian is lazy,,1,,1,,,,,,
Taylor wanted to mix it up and have pizza instead,,,,,1,,,,,
Jesse was looking for hot dogs and kept walking until he found them,,,,,,,,,,
Drew wanted hot dogs.,,,,,1,,,,,
Didn't fancy pizza so walked the other way hoping something else would pop up,,,,,1,,,,,
Parker decided he needed some exercise as he is generally lazy and also wanted to mix it up and not eat hot dogs again,,1,,,1,,,,,
He knows the area well,,,1,,,,,,,
he is sporty and wanted to walk all the way around to see what was there,,1,,,,,,,,
they wanted to have something different to eat,,,,,1,,,,,
they did not fancy a hotdog today so carried on walking,,,,,1,,,,,
stopped at the first place he came across,,,,1,,,,,,
He decided to have a longer walk for achange,,,,,,1,,,,
he is lazy and prefers hotdogs,1,1,,,,,,,,
they are sporty and dont know the area well so kept on walking,,1,1,,,,,,,
Adrian took this path because they dont know the area well,,,1,,,,,,,
Brooklyn chose this path because they are sporty,,1,,,,,,,,
Drew chose this path because they are sporty,,1,,,,,,,,
Jesse took this path because they don't know the area well,,,1,,,,,,,
Taylor took this path because they are sporty,,1,,,,,,,,
Harper took this path because their favorite food is hot dogs,1,,,,,,,,,
Parker took this path because they know the area well,,,1,,,,,,,
Charlie took this path because they know the area well,,,1,,,,,,,
he goes to the hot dog stand as he is lazy and doesn't want to walk any further to investigate,,1,,,,,,,,
He goes to the pizza stand as he is lazy,,1,,,,,,,,
Jesse decided that she wan't in the mood for hot dogs today.,,,,,1,,,,,
Parker definitely didn't want pizza but needed the walk,,,,,1,,,,,
he wanted hot dogs so took the direct route as he was hungry and had been out running already today.,,,,,1,,,,,
Brooklyn didn't want pizza so continued on her route and decided to have hot dog when she discovered the stand.,,,,,1,,,,,
he know he wanted to buy pizza,,,1,,1,,,,,
He thought he wanted hot dogs but when he reached the stand decided he wanted pizza instead.,,,,,1,,,,,
They were looking for pizza and didn't know the area well,,,1,,,,,,,
Charlie wanted pizza and didn't want to walk far,,,,,1,,,,,
Taylor wanted more exercise today,,,,,,1,,,,
Jesse didn't know where the hot dog stand was so stopped for pizza,,,1,,,,,,,
Parker want straight for a hot dogs,,,,,1,,,,,
Drew wanted exercise before getting hot dogs,,,,,,1,,,,
Harper didn't know the quickest route to take,,,1,,,,,,,
Brookly decided on hot dogs when they saw the stand,,,,1,,,,,,
Taylor took the long route because he wanted to get some exercise.,,,,,,1,,,,
Brooklyn choose to go to the Pizza van as it was the only one they could see and they didn't know the area.,,,1,1,,,,,,
"Adrian does not like pizza, and so despite being lazy he continued to walk until he found the other option.",1,1,,,,,,,,
Jesse could see their favourite food van and so went directly to it.,1,,,1,,,,,,
Parker thought the Hot Dog van he could see was too far away and decided to see if the hot dog van was closer.,,,,1,,,,,,
"Being sporty, Drew decided to go the long way round to get to the pizza van.",,1,,,,,,,,
Haper though they should do some exercise that day as they felt guilty about being lazy.,,1,,,,,,,,
As Charlie knows the area well he knew the Hot Dog van wouldn't be too far away and decide to walk towards it.,,,1,,,,,,,
They thought there would be a closer food vendor.,,,,1,,,,,,
The hot dog vendor was no longer selling hot dogs.,,,,,,,,,,
They were intentionally wasting time.,,,,,,,,,,
Pizza didn't appeal to them so they looked for alternatives.,,,,,1,,,,,
They looked for alternatives before choosing.,,,,,,,,,,
They didn't want to go back the same way after trying the hot dog vendor but seeing that they were no longer selling hot dogs.,,,,1,,,,,,
They wanted hot dogs.,,,,,1,,,,,
They went to the most convenient vendor.,,,,1,,,,,,
Parker wanted a change in food choices.,,,,,1,,,,,
Jesse loves hot dogs.,1,,,,,,,,,
Drew is sporty and wants more exercise.,,1,,,,,,,,
Brooklyn was hungry and wanted pizza.,,,,,1,,,,,
Taylor is sporty and wants more exercise.,,1,,,,,,,,
Harper does not know the area well and got lost.,,,1,,,,,,,
Charlie knows the area well and wanted hot dogs.,,,1,,1,,,,,
Adrian does not know the area well and got lost.,,,1,,,,,,,
Harper wanted his favourite food so went further afield as that is what he wanted most.,1,,,,,,,,,
They wanted to go for a walk before eating but were too lazy at the end of the walk to go that bit further to go back to the hot dog stand,,1,,,,,,,,
His favourite food is pizza and he stopped when he found it,1,,,,,,,,,
He had already done his exercise and merely wanted to get some tea so knew where to go to get the food he wanted quickest,,,,,1,,,,,
Charlie changed his mind after seeing the pizza place and decided he would rather have a hot dog,,,,1,1,,,,,
Taylor didn't fancy hot dogs tonight,,,,,1,,,,,
Adrian just ate the first thing he found,,,,,,,,,,
Jesse thought they would go for a walk even after seeing the pizza place to see if there were any other options to eat. They didn't mind walking further to see what else there was.,,,,1,,,,,,
Taylor wanted to take the long route to the hot dog stall because they are sporty and fancied a run.,,1,,,,,,,,
"Adrian wanted to see if there were other food stalls, but doesn't like pizza.",1,,,1,,,,,,
Drew fancied a longer run to the food truck as he is sporty.,,1,,,,,,,,
Harper fancied a change from hot dogs.,,,,,1,,,,,
Parker went for the closest food stall because he is lazy.,,1,,1,,,,,,
Jesse set out looking for the hot dog stall and got lucky by taking the shortest route.,,,,,,,,,,
Brooklyn set out to explore and found the pizza stall.,,,,,,,1,,,
"Charlie went to the nearest food stall because he is lazy,",,1,,1,,,,,,
that he doesnt like pizza at all,1,,,,,,,,,
"that he was really hungry by the time he got to the hot dog stand,",,,,,,,,,,
