filename,subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,link,duration,duration_s,duration_m,row9_timestamp,row9_response,row9_RT,row9_responseCode,row10_timestamp,row10_response,row10_RT,row10_responseCode,row11_timestamp,row11_response,row11_RT,row11_responseCode,row12_timestamp,row12_response,row12_RT,row12_responseCode,row13_timestamp,row13_response,row13_RT,row13_responseCode,row14_timestamp,row14_response,row14_RT,row14_responseCode,row15_timestamp,row15_response,row15_RT,row15_responseCode,row16_timestamp,row16_response,row16_RT,row16_responseCode,row17_timestamp,row17_response,row17_RT,row17_responseCode,row18_timestamp,row18_response,row18_RT,row18_responseCode,row19_timestamp,row19_response,row19_RT,row19_responseCode,row20_timestamp,row20_response,row20_RT,row20_responseCode,row21_timestamp,row21_response,row21_RT,row21_responseCode,row22_timestamp,row22_response,row22_RT,row22_responseCode,row23_timestamp,row23_response,row23_RT,row23_responseCode,row24_timestamp,row24_response,row24_RT,row24_responseCode,row25_timestamp,row25_response,row25_RT,row25_responseCode,row26_timestamp,row26_response,row26_RT,row26_responseCode,row27_timestamp,row27_response,row27_RT,row27_responseCode,row28_timestamp,row28_response,row28_RT,row28_responseCode,row29_timestamp,row29_response,row29_RT,row29_responseCode,row30_timestamp,row30_response,row30_RT,row30_responseCode,row31_timestamp,row31_response,row31_RT,row31_responseCode,row32_timestamp,row32_response,row32_RT,row32_responseCode,row33_timestamp,row33_response,row33_RT,row33_responseCode,row34_timestamp,row34_response,row34_RT,row34_responseCode,row35_timestamp,row35_response,row35_RT,row35_responseCode,row36_timestamp,row36_response,row36_RT,row36_responseCode,row37_timestamp,row37_response,row37_RT,row37_responseCode,row38_timestamp,row38_response,row38_RT,row38_responseCode,row39_timestamp,row39_response,row39_RT,row39_responseCode,row40_timestamp,row40_response,row40_RT,row40_responseCode,row41_timestamp,row41_response,row41_RT,row41_responseCode,row42_timestamp,row42_response,row42_RT,row42_responseCode,row43_timestamp,row43_response,row43_RT,row43_responseCode,row44_timestamp,row44_response,row44_RT,row44_responseCode,row45_timestamp,row45_response,row45_RT,row45_responseCode,row46_timestamp,row46_response,row46_RT,row46_responseCode,row47_timestamp,row47_response,row47_RT,row47_responseCode,row48_timestamp,row48_response,row48_RT,row48_responseCode,row49_timestamp,row49_response,row49_RT,row49_responseCode,row50_timestamp,row50_response,row50_RT,row50_responseCode,row51_timestamp,row51_response,row51_RT,row51_responseCode,row52_timestamp,row52_response,row52_RT,row52_responseCode,row53_timestamp,row53_response,row53_RT,row53_responseCode,row54_timestamp,row54_response,row54_RT,row54_responseCode,row55_timestamp,row55_response,row55_RT,row55_responseCode,row56_timestamp,row56_response,row56_RT,row56_responseCode,row57_timestamp,row57_response,row57_RT,row57_responseCode,row58_timestamp,row58_response,row58_RT,row58_responseCode,row59_timestamp,row59_response,row59_RT,row59_responseCode,row60_timestamp,row60_response,row60_RT,row60_responseCode,row61_timestamp,row61_response,row61_RT,row61_responseCode,row62_timestamp,row62_response,row62_RT,row62_responseCode,row63_timestamp,row63_response,row63_RT,row63_responseCode,row64_timestamp,row64_response,row64_RT,row64_responseCode,row65_timestamp,row65_response,row65_RT,row65_responseCode,row66_timestamp,row66_response,row66_RT,row66_responseCode,row67_timestamp,row67_response,row67_RT,row67_responseCode,row68_timestamp,row68_response,row68_RT,row68_responseCode,row69_timestamp,row69_response,row69_RT,row69_responseCode,row70_timestamp,row70_response,row70_RT,row70_responseCode,row71_timestamp,row71_response,row71_RT,row71_responseCode,row72_timestamp,row72_response,row72_RT,row72_responseCode,row74_timestamp,row74_response,row74_RT,row74_responseCode,row75_timestamp,row75_response,row75_RT,row75_responseCode,row76_timestamp,row76_response,row76_RT,row76_responseCode
522931_231101_122259_M022949.csv,1,Chrome,118.0.0.0,1536,864,Windows,en-GB,2023-11-01_12:17:30,2023-11-01_12:17:30,2023-10-31_10:09:10,M022949,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M022949&batch_id=TYKHTP-01,339160.0000,339.1600,5.6526,312951,"They wanted to see what else was available",16779,,237900,"They love hot dogs so went straight there",12014,,166997,"They couldn't see the hot dogs so went for the convenient option.",28851,,131349,"They wanted to see if anything else was available.",27083,,191716,"They wanted a long walk to see what else was available",17916,,219097,"They didn't like hot dogs so went to find something else.",20580,,289385,"They wanted a longer walk and knew there were hot dogs available",20696,,261888,"They wanted to go for a long walk",17201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330130,Female,9030,2,330130,38,9030,NA,330130,None,9030,NA
522931_231101_122322_M701443.csv,6,Chrome,118.0.0.0,1280,720,Windows,en-GB,2023-11-01_12:17:27,2023-11-01_12:17:27,2023-10-31_10:09:10,M701443,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M701443&batch_id=TYKHTP-01,368318.0000,368.3180,6.1386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268572,"His favourite food is hot dogs and went straight there.",24775,,187424,"Harper walks past the hot dog stand as he is lazy and he didn't notice it.",37420,,209394,"Taylor wants a hotdog.",15185,,331976,"Parker is too lazy to walk to the hotdog stand.",31242,,143203,"He doesn't know that the pizza stand is round the corner.",13693,,293938,"Adrian gets lost and ends up taking the longer route to the hot dog stand.",18565,,236998,"Drew knows where the pizza stand is but takes the longer route for some extra exercise before his pizza.",20811,,122713,"Charlie can't be bothered walking to the pizza stand and goes to the closest stand which is the hot dog stand.",50094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356519,Female,11799,2,356519,27,11799,NA,356519,NA,11799,NA
522931_231101_122334_M440728.csv,7,Chrome,118.0.0.0,1920,1080,Windows,en-GB,2023-11-01_12:17:38,2023-11-01_12:17:38,2023-10-31_10:09:10,M440728,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M440728&batch_id=TYKHTP-01,361390.0000,361.3900,6.0231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306138,"They wanted to go for a long walk before eating.",16797,,164080,"They were too lazy to explore so just got pizza.",21665,,226915,"Hot dogs are their favourite food.",17414,,343499,"Wanted to check what the pizza van was offering before getting hot dogs as usual.",30565,,135615,"He wanted to explore the area before eating.",24824,,282541,"He may not have known pizza was just as close and was too lazy to find out.",24445,,251291,"His favourite food might be pizza.",17577,,202700,"He felt like going for a walk and wanted pizza.",31815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356705,Male,4685,1,356705,23,4685,NA,356705,NA,4685,NA
522931_231101_122442_M481805.csv,5,Chrome,118.0.0.0,1920,1080,Linux,en-GB,2023-11-01_12:17:27,2023-11-01_12:17:27,2023-10-31_10:09:10,M481805,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M481805&batch_id=TYKHTP-01,441792.0000,441.7920,7.3632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279122,"Jesse was looking for hot dogs and kept walking until he found them",21493,,368144,"Didn't fancy pizza so walked the other way hoping something else would pop up",25562,,250838,"Taylor wanted to mix it up and have pizza instead",23538,,421767,"Parker decided he needed some exercise as he is generally lazy and also wanted to mix it up and not eat hot dogs again",46828,,179302,"Brooklyn wanted pizza and kept walking until he found it.",23659,,220501,"Saw the pizza stand was close and went since Adrian is lazy",34395,,335793,"Drew wanted hot dogs.",49869,,148849,"Charlie wanted to get some exercise in because he know he is generally lazy",76224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435901,Female,5891,2,435901,28,5891,NA,435901,NA,5891,NA
522931_231101_122450_M669519.csv,1,Safari,15.1,1440,900,MacOS,en-GB,2023-11-01_12:17:42,2023-11-01_12:17:42,2023-10-31_10:09:10,M669519,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M669519&batch_id=TYKHTP-01,435372.0000,435.3720,7.2562,414830,"they are sporty and dont know the area well so kept on walking",42028,,366012,"he is lazy and prefers hotdogs",17181,,215904,"they wanted to have something different to eat",38115,,274675,"they did not fancy a hotdog today so carried on walking",51984,,170986,"he is sporty and wanted to walk all the way around to see what was there",39230,,312159,"stopped at the first place he came across",30698,,124967,"He knows the area well",21274,,342027,"He decided to have a longer walk for achange",23060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428437,Female,6935,2,428437,48,6935,NA,428437,NA,6935,NA
522931_231101_122607_M091317.csv,8,Safari,16.6,1440,900,MacOS,en-GB,2023-11-01_12:17:36,2023-11-01_12:17:36,2023-10-31_10:09:10,M091317,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M091317&batch_id=TYKHTP-01,522177.0000,522.1770,8.7029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313632,"Jesse took this path because they don't know the area well",36601,,409191,"Harper took this path because their favorite food is hot dogs",40820,,361579,"Taylor took this path because they are sporty",41143,,451815,"Parker took this path because they know the area well",35809,,218802,"Brooklyn chose this path because they are sporty",40739,,171266,"Adrian took this path because they dont know the area well",60794,,270222,"Drew chose this path because they are sporty",44625,,491715,"Charlie took this path because they know the area well",33083,,511020,Male,11157,1,511020,36,11157,NA,511020,NA,11157,NA
522931_231101_122916_M078144.csv,7,"Microsoft Edge",118.0.2088.76,1536,864,Windows,en-GB,2023-11-01_12:17:50,2023-11-01_12:17:50,2023-10-31_10:09:10,M078144,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M078144&batch_id=TYKHTP-01,706984.0000,706.9840,11.7830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368644,"Jesse decided that she wan't in the mood for hot dogs today.",41027,,320829,"He goes to the pizza stand as he is lazy",28062,,513045,"he wanted hot dogs so took the direct route as he was hungry and had been out running already today.",61477,,444785,"Parker definitely didn't want pizza but needed the walk",69346,,577281,"Brooklyn didn't want pizza so continued on her route and decided to have hot dog when she discovered the stand.",57443,,285973,"he goes to the hot dog stand as he is lazy and doesn't want to walk any further to investigate",39110,,601892,"he know he wanted to buy pizza",17815,,656891,"He thought he wanted hot dogs but when he reached the stand decided he wanted pizza instead.",48204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686612,Female,20372,2,686612,58,20372,NA,686612,"it was enjoyabe!",20372,NA
522931_231101_123121_M043484.csv,4,Chrome,118.0.0.0,1710,1107,MacOS,en-GB,2023-11-01_12:17:26,2023-11-01_12:17:26,2023-10-31_10:09:10,M043484,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M043484&batch_id=TYKHTP-01,969074.0000,969.0740,16.1512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585789,"Jesse didn't know where the hot dog stand was so stopped for pizza",23028,,671765,"Harper didn't know the quickest route to take",26315,,555966,"Taylor wanted more exercise today",22953,,611964,"Parker want straight for a hot dogs",19382,,695602,"Brookly decided on hot dogs when they saw the stand",17036,,499117,"They were looking for pizza and didn't know the area well",25882,,638654,"Drew wanted exercise before getting hot dogs",19886,,526222,"Charlie wanted pizza and didn't want to walk far",20305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835337,Male,133737,1,835337,43,133737,NA,835337,NA,133737,NA
522931_231101_124806_M541462.csv,2,Chrome,118.0.0.0,1280,720,Windows,en-GB,2023-11-01_12:17:20,2023-11-01_12:17:20,2023-10-31_10:09:10,M541462,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M541462&batch_id=TYKHTP-01,1852480.0000,1852.4800,30.8746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1635885,"Jesse could see their favourite food van and so went directly to it.",26894,,1794717,"Haper though they should do some exercise that day as they felt guilty about being lazy.",64293,,1505298,"Taylor took the long route because he wanted to get some exercise.",282454,,1684221,"Parker thought the Hot Dog van he could see was too far away and decided to see if the hot dog van was closer.",41528,,1552973,"Brooklyn choose to go to the Pizza van as it was the only one they could see and they didn't know the area.",40871,,1602189,"Adrian does not like pizza, and so despite being lazy he continued to walk until he found the other option.",42419,,1723621,"Being sporty, Drew decided to go the long way round to get to the pizza van.",32592,,1831573,"As Charlie knows the area well he knew the Hot Dog van wouldn't be too far away and decide to walk towards it.",30053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1846610,Male,5870,1,1846610,39,5870,NA,1846610,NA,5870,NA
522931_231101_125359_M058012.csv,3,Chrome,118.0.0.0,1280,720,Windows,en-US,2023-11-01_12:17:41,2023-11-01_12:17:41,2023-10-31_10:09:10,M058012,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M058012&batch_id=TYKHTP-01,2462431.0000,2462.4310,41.0405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340592,"The hot dog vendor was no longer selling hot dogs.",141806,,1191987,"They thought there would be a closer food vendor.",51654,,1823164,"They wanted hot dogs.",14537,,1507207,"They were intentionally wasting time.",159812,,1704205,"They looked for alternatives before choosing.",73221,,1624182,"Pizza didn't appeal to them so they looked for alternatives.",110182,,1878908,"They went to the most convenient vendor.",48949,,1801836,"They didn't want to go back the same way after trying the hot dog vendor but seeing that they were no longer selling hot dogs.",90837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2179182,Male,283249,1,2179182,34,283249,NA,2179182,"I started the experiment about 20 minutes after accepting it, so I might seem like I've taken much longer to complete it than I actually took.\n\nI don't know if I got confused by the food icons on the map. I interpreted them not as fixed shops, but as mobile vendors, which was why I thought they run out of food more easily and have fewer operating hours in that postition.",283249,NA
