response,c_Food.pref,c_Food.disp,c_Character,c_Char.now,c_Knowledge,c_Visibility,c_Disposition,c_Situation,c_Closer,Notes
"Knows the area, so he prefers a hot dog over the pizza as distance would not be an obstacle for him",1,0,0,0,1,0,0,0,1,
"It's about equal distance to the hot dog and pizza, so  since Harper can see that there is an option of hot dogs they would be more willing to walk there/a few more meters even if they are lazy",0,0,1,0,0,1,0,1,1,?
"Charlie changed their mind once they got the pizza stand, so chose to go for a hot dog",0,0,0,0,0,0,1,0,0,Changed their mind = situation
The hot dog stand was closed or taylor had just had hot dogs recently,0,1,0,0,0,0,0,1,0,Had recently = disposition
Went for some exercise & found pizza more appetising than hot dogs as they have seen both on their route,0,1,0,1,0,1,0,0,0,
The hot dog stand was closed so they went to get pizza instead,0,0,0,0,0,0,0,1,0,
Went for exercise & found hot dog stand so chose to stop at it because they found it appealing,0,1,0,1,0,0,0,0,0,
Went to the closest food option available,0,0,0,0,0,0,0,1,1,Closest 
Parker visited the hot dog stand but it was either closed or that hot dogs were sold out.,0,0,0,0,0,0,0,1,0,
Harper actively looked for hot dogs because it was his favourite food and it was a short route.,1,0,0,1,0,0,0,0,0,Short route = lazy now?
Adrian randomly walked around the area found a short path to the pizza place.,0,0,0,0,0,0,0,1,0,Exploring = situation
Charlie wanted to take the short path to the pizza place because he was lazy but realised that it was closed.,0,0,1,0,0,0,0,1,0,
Jesse is a bit lost but is also a sporty person and decides to take the long route to reach the hot dogs store.,0,0,1,0,0,0,0,1,0,"Lost = situation, ?"
Drew is sporty and takes a longer route to eat at the hot dogs store.,0,0,1,0,0,0,0,0,0,Longer route = ?
Taylor prefers pizza over hot dogs at this moment.,0,1,0,0,0,0,0,0,0,
Brooklyn wants to go for a run or walk before having a meal.,0,0,0,1,0,0,0,0,0,
"the first place he saw was the hot dog stand, so he went there.",0,0,0,0,0,1,0,0,0,
"went to the hot dog truck, but they were out of hot dogs and so he had to go to the pizza truck",0,0,0,0,0,0,0,1,0,
"he was really hungry and so wanted to take the quickest route, even if not the most athletically challenging.",0,0,0,0,0,0,1,0,1,
"Fancied a hot dog, got there and it was closed as he's new to the area he doesn't know their opening/closing times, and thought he'd take the long way to get to know the area better to go back to the pizza truck he'd seen originally.",0,1,0,0,1,1,0,1,0,???
"the pizza truck was closest, doesn't know the area well enough to know there's a hot dog truck not much further.",0,0,0,0,1,0,0,1,1,
maybe he wanted to pick up pizza and a hot dog so went the other way as he knows the pizza truck is on the route,0,1,0,0,1,0,0,0,0,
wanted a satisfying walk before he grabbed lunch and didn't want to stop at the first place he saw,0,0,0,1,0,0,1,0,0,
"both are equal distance away, so maybe he was just in the mood for a pizza that day",0,1,0,0,0,0,0,0,1,✓
They went to the pizza stand because it was closer.,0,0,0,0,0,0,0,1,1,Closest
The chose the hot dogs because hot dogs are their favorite.,1,0,0,0,0,0,0,0,0,
They chose the pizza because they were in the mood for pizza.,0,1,0,0,0,0,0,0,0,
Their favorite food is pizza.,1,0,0,0,0,0,0,0,0,
They ran into the pizza place first.,0,0,0,0,0,0,0,1,1,
Their favorite food is hot dogs.,1,0,0,0,0,0,0,0,0,
They are sporty so they chose the hot dogs which are farther away.,0,0,1,0,0,0,0,0,1,
Their favorite food is hot dogs.,1,0,0,0,0,0,0,0,0,
the hog dog stall is closed today,0,0,0,0,0,0,0,1,0,
he wants to take a longer path to reach the hot dog stall,0,0,0,1,0,0,0,0,1,
they didn't know that there is a hot dog stall,0,0,0,0,1,0,0,0,0,
they don't like hot dogs so took the longer path,1,0,0,0,0,0,0,0,0,
they like pizza more,1,0,0,0,0,0,0,0,0,
they really want to get hot dog today so would rather walk more for hot dogs,0,1,0,0,0,0,0,0,1,
they like hot dog so just chose the shortest path to the hot dog stall,1,0,0,0,0,0,0,0,1,
they passed by the hot dog stall and felt like getting it,0,1,0,0,0,0,0,1,0,
They can't see the hotdog stand.,0,0,0,0,0,1,0,0,0,
He doesn't like hotdog.,1,0,0,0,0,0,0,0,0,
He wasn't hugry when he started walking. The walk made him hungry.,0,0,0,0,0,0,1,0,0,
He is sporty.,0,0,1,0,0,0,0,0,0,
He doesn't like hotdog.,1,0,0,0,0,0,0,0,0,
Wanted to try something new for a change.,0,0,0,0,0,0,1,0,0,
Favourite food is hotdog.,1,0,0,0,0,0,0,0,0,
Brooklyn is sproty.,0,0,1,0,0,0,0,0,0,
Jesse took the long route because he wanted to explore the area,0,0,0,0,0,0,1,0,1,
He had too many hot dogs that week so wanted something else,0,1,0,0,0,0,0,0,0,
He wanted exercise so took the long route,0,0,0,1,0,0,0,0,1,
He wanted pizza but decided not because he changed his mind,0,0,0,0,0,0,1,0,0,
He was in a lazy mood,0,0,0,1,0,0,0,0,0,
He was really hungry,0,0,0,0,0,0,1,0,0,
their favourite food is hot dogs,1,0,0,0,0,0,0,0,0,
He could smell pizza round the corner,0,0,0,0,0,0,0,1,0,?
They didn't know that the hot dog stand was around the corner as they couldn't see it and they don't know the area well,0,0,0,0,1,1,0,0,0,
They might have wanted to walk past a particular spot to see something on the way,0,0,0,0,0,0,1,0,0,
He didn't know the pizza truck existed so just went to the nearest available food truck that he could see.,0,0,0,0,1,1,0,0,1,
He is sporty and wanted to get some exercise in,0,0,1,1,0,0,0,0,0,
They are sporty and wanted to get some exercise in,0,0,1,1,0,0,0,0,0,
He likes both hot dogs and pizza so wanted to see what hot dogs were for sale before checking out the pizza truck.,1,0,0,0,0,0,0,1,0,
They wanted hot dogs and knew where to get them,0,1,0,0,1,0,0,0,0,
His favourite food is pizza.,1,0,0,0,0,0,0,0,0,
He knows where the pizza stand is.,0,0,0,0,1,0,0,0,0,
He can see the hotdog stand and doesn't want to hunt for other stands.,0,0,0,0,0,1,1,0,0,
He went for a run.,0,0,0,0,0,0,0,1,0,Went for run
She went for a long run.,0,0,0,0,0,0,0,1,0,Went for run
He wanted pizza at first then changed his mind.,0,1,0,0,0,0,1,0,0,
She was too lazy to look for anything else.,0,0,1,0,0,0,0,0,0,
Decided to go for hotdogs because its closer but then hyped himself up do go for pizza as he fancied it more.,0,1,0,0,0,0,1,0,1,
His favourite food is hotdogs,1,0,0,0,0,0,0,0,0,
They couldn't be bothered to walk around to look for a hot-dog place.,0,0,0,1,0,0,0,0,0,
They are happy to walk around to search.,0,0,0,0,0,0,1,0,0,
Was happy to spend time and energy finding the food they wanted.,0,0,0,0,0,0,1,0,0,?
Maybe changed their mind and felt like a longer walk.,0,0,0,1,0,0,1,0,0,
They like hot dogs enough to walk for them despite their laziness.,1,0,1,0,0,0,0,0,0,
They changed their mind,0,0,0,0,0,0,1,0,0,
They were hungry and went for the first place they saw,0,0,0,0,0,1,1,0,1,
Coincidence,0,0,0,0,0,0,0,1,0,
Taylor likes hot dogs and he knows where the hot dog booth is by memory.,1,0,0,0,1,0,0,0,0,
He doesn't know there is a hot dog store.,0,0,0,0,1,0,0,0,0,
He likes pizza.,1,0,0,0,0,0,0,0,0,
He is sporty.,0,0,1,0,0,0,0,0,0,
He likes hot dogs.,1,0,0,0,0,0,0,0,0,
He wants to try out the pizza store.,0,0,0,0,0,0,1,0,0,
He likes pizza.,1,0,0,0,0,0,0,0,0,
He only sees the hot dog store.,0,0,0,0,0,1,0,0,0,
They are lazy and are unaware of where they are going and therefore chose the easiest option.,0,0,1,0,1,0,0,0,0,
The hot dog stand would have been in his eyeline and thus it is closer.,0,0,0,0,0,1,0,1,1,
He must have wanted hot dogs but then changed his mind and wanted pizza.,0,1,0,0,0,0,1,0,0,
He wants to run more because he is sporty thus he ran the furtherest way to food.,0,0,1,0,0,0,0,0,1,
He wanted to catch the aroma of pizza to stimulate his taste buds before a hot dog.,0,0,0,0,0,0,1,0,0,
He had the most efficient walk to the hot dog,0,0,0,0,0,0,0,1,1,?
He wanted to lose the most weight in order to earn his pizza.,0,0,0,0,0,0,1,0,0,
He wants pizza.,0,1,0,0,0,0,0,0,0,
Brooklyn is sporty so he chose the longest route.,0,0,1,0,0,0,0,0,0,
Drew much prefer hot dog.,1,0,0,0,0,0,0,0,0,
Adrian doesn't like to eat hot dog so he chose the longer and uncertain route although he is lazy.,1,0,1,0,0,0,0,0,0,
"Although he is lazy, maybe he wanted to exercise on that day.",0,0,1,1,0,0,0,0,0,
Harper is lazy and like hot dogs so he chose the shortest route towards hot dog.,1,0,1,0,0,0,0,0,1,
Parker's behaviour didn't match this explanation at all. Maybe he decided to do some exercise on that day.,0,0,0,1,0,0,0,0,0,
Taylor's behaviours also didn't match this explanation.Maybe he was a bit tired that day.,0,0,0,0,0,0,1,0,0,
Jesse chose the longer route because he is sporty.,0,0,1,0,0,0,0,0,0,
They chose this path because they love pizza and didn't want a hotdog even though they are lazy.,1,1,1,0,0,0,0,0,0,
It was a short route to their favourite food stand and didnt take long.,1,0,0,0,0,0,0,1,1,
They are tired today.,0,0,0,0,0,0,1,0,0,
They were feeling energized today and chose to go to the furthest away food stand.,0,0,0,0,0,0,1,0,1,
They decided to take the long route as they wanted to go for a run today. They got tired at the pizza sand and chose to have that food instead.,0,0,0,1,0,0,1,0,1,
They went to the hotdog stand as they don't know the area well and prefer hotdogs.,1,0,0,0,1,0,0,0,0,
Short route for them being lazy.,0,0,1,0,0,0,0,0,1,
They love hotdogs so much they chose not to be lazy and they know the area.,1,0,0,1,1,0,0,0,0,
"The shop is out of hot dogs and Park is hungry, so he has to buy pizza.",0,0,0,0,0,0,1,1,0,
"Drew wants a hot dog, even though the hot dog shop is farther than pizza shop.",0,1,0,0,0,0,0,0,1,
"Jesse does not know the area well, and he finds a hot dog shop.",0,0,0,0,1,0,0,1,0,
"The shop is out of pizza, he is hungry though.",0,0,0,0,0,0,1,1,0,
"Taylor just wants to eat pizza, and the pizza shop is quite close.",0,1,0,0,0,0,0,1,1,Close
Adrian is hungry and happens to be at the pizza shop.,0,0,0,0,0,0,1,1,0,
"Brooklyn is doing exercise, and when he gets to the pizza shop, he is hungry.",0,0,0,0,0,0,1,0,0,
"Harper can see the hot dog shop, he wants to eat.",0,0,0,0,0,1,1,0,0,
His favourite food is hotdogs,1,0,0,0,0,0,0,0,0,
he wanted to take the long route because he is sporty,0,0,1,0,0,0,0,0,0,
He went to the closest one because he doesn't know the area well,0,0,0,0,1,0,0,0,1,
"They were trying to find the hotdog, but did not know the area well and so accidentally took the long route",0,0,0,0,1,0,0,1,0,
They wanted to eat pizza,0,1,0,0,0,0,0,0,0,
He wanted to eat from the closer stand,0,0,0,1,0,0,0,0,1,
They wanted to eat pizza and took the long route,0,1,0,0,0,0,0,0,0,Long?
They wanted to take a longer route,0,0,0,1,0,0,0,0,1,
He thought there was a better option on the other side but realised there wasn't,0,0,0,0,1,0,0,0,0,
Took the long way because he is sporty,0,0,1,0,0,0,0,0,0,
