Preference,Character,Knowledge,Visible,Path,Choice,n,What promoted the Path+Choice in this situation?,Maximal,Minimal,Why really
Absent,Lazy,Does not know area,Hot dogs visible,Long,Hot dogs,7,Hot dogs visible,,2,"curiousity, might decide I like hotdogs better than the worse thing I found, might get hungry on route"
Absent,Lazy,Does not know area,Hot dogs visible,Long,Pizza,9,Nothing - incongruent,,,"I really don't want/like a hotdog right now, I don't like hotdogs in general"
Absent,Lazy,Does not know area,Hot dogs visible,Short,Hot dogs,9,"Hot dogs visible, lazy",1,,Hunger
Absent,Lazy,Does not know area,Hot dogs visible,Short,Pizza,8,Nothing - incongruent,,,"Curiosity, don't like hotdogs"
Absent,Lazy,Does not know area,Pizza visible,Long,Hot dogs,2,Nothing - incongruent,,,"don't like pizza, curious about area, wanted a walk"
Absent,Lazy,Does not know area,Pizza visible,Long,Pizza,7,Pizza is visible? Incongruent,,2,"I wasn't that hungry, but I continued to think about pizza until I had to get one "
Absent,Lazy,Does not know area,Pizza visible,Short,Hot dogs,2,Nothing - incongruent,,,I set out for a walk and on the way got attracted by a hotdog stand I happened to find
Absent,Lazy,Does not know area,Pizza visible,Short,Pizza,5,"Pizza is visible, lazy",1,,"I must have been hungry, and pizza is as good a thing as any"
Absent,Lazy,Knows area,Hot dogs visible,Long,Hot dogs,5,Incongruent,,,"I knew there is normally a pizza van round the corner, and today it wasn't there so I had to come back for hotdog"
Absent,Lazy,Knows area,Hot dogs visible,Long,Pizza,9,Incongruent,,,
Absent,Lazy,Knows area,Hot dogs visible,Short,Hot dogs,7,"Hot dogs visible, lazy",1,,
Absent,Lazy,Knows area,Hot dogs visible,Short,Pizza,9,Knows area,,2,
Absent,Lazy,Knows area,Pizza visible,Long,Hot dogs,8,"Knows area, but incongruent",,,I must not like pizza
Absent,Lazy,Knows area,Pizza visible,Long,Pizza,2,Nothing,,,"I must have changed my mind, made a long plan to only get food after a walk, been on an errand, or got hungry along the way"
Absent,Lazy,Knows area,Pizza visible,Short,Hot dogs,2,"Knows area, lazy",,2,I must have wanted a hotdog
Absent,Lazy,Knows area,Pizza visible,Short,Pizza,7,"Lazy, pizza visible",1,,"I must have been hungry, and pizza is as good a thing as any"
Absent,Sporty,Does not know area,Hot dogs visible,Long,Hot dogs,2,"Sporty, (hot dogs visible?)",,2,I didn't like the other food
Absent,Sporty,Does not know area,Hot dogs visible,Long,Pizza,5,Sporty,,2,I don't like the other food and I do like pizza
Absent,Sporty,Does not know area,Hot dogs visible,Short,Hot dogs,7,Hot dogs visible,1,,I must have been hungry
Absent,Sporty,Does not know area,Hot dogs visible,Short,Pizza,7,Nothing,,,"I must not like hotdogs, or not be hungry, and the pizza was an opportunistic find once I was already on a walk"
Absent,Sporty,Does not know area,Pizza visible,Long,Hot dogs,9,Sporty,,2,"Must really not like pizza, or not been hungry to begin with"
Absent,Sporty,Does not know area,Pizza visible,Long,Pizza,8,Sporty,,2,
Absent,Sporty,Does not know area,Pizza visible,Short,Hot dogs,9,Sporty,,,
Absent,Sporty,Does not know area,Pizza visible,Short,Pizza,2,Pizza visible,1,,
Absent,Sporty,Knows area,Hot dogs visible,Long,Hot dogs,7,Sporty,,2,Must like hotdogs
Absent,Sporty,Knows area,Hot dogs visible,Long,Pizza,7,"Sporty, knows area",1,,Must not like hotdogs
Absent,Sporty,Knows area,Hot dogs visible,Short,Hot dogs,5,Hot dogs visible,,2,Must be hungry
Absent,Sporty,Knows area,Hot dogs visible,Short,Pizza,9,Knows area,,2,Must not like pizza
Absent,Sporty,Knows area,Pizza visible,Long,Hot dogs,9,"Knows area, sporty",1,,
Absent,Sporty,Knows area,Pizza visible,Long,Pizza,2,Sporty,,2,"Work up appetite, changed mind, etc"
Absent,Sporty,Knows area,Pizza visible,Short,Hot dogs,8,Knows area,,2,
Absent,Sporty,Knows area,Pizza visible,Short,Pizza,2,Pizza visible,,2,
Hot dogs,Lazy,Does not know area,Hot dogs visible,Long,Hot dogs,9,"Preference and hot dogs visible caused me to come back, otherwise nothing",,2,
Hot dogs,Lazy,Does not know area,Hot dogs visible,Long,Pizza,2,Nothing,,,
Hot dogs,Lazy,Does not know area,Hot dogs visible,Short,Hot dogs,8,Everything,1,,
Hot dogs,Lazy,Does not know area,Hot dogs visible,Short,Pizza,2,Nothing,,,
Hot dogs,Lazy,Does not know area,Pizza visible,Long,Hot dogs,7,Nothing - I can't have taken the long path FOR the hotdog because I didn't know it was there,,,
Hot dogs,Lazy,Does not know area,Pizza visible,Long,Pizza,7,Nothing - incongruent,,,
Hot dogs,Lazy,Does not know area,Pizza visible,Short,Hot dogs,5,Nothing - I can't have taken the long path FOR the hotdog because I didn't know it was there,,,
Hot dogs,Lazy,Does not know area,Pizza visible,Short,Pizza,9,"Lazy, doesn't know area, pizza visible",1,,
Hot dogs,Lazy,Knows area,Hot dogs visible,Long,Hot dogs,9,Nothing,,2,
Hot dogs,Lazy,Knows area,Hot dogs visible,Long,Pizza,8,Knows area,,2,Must have really wanted a pizza today
Hot dogs,Lazy,Knows area,Hot dogs visible,Short,Hot dogs,9,"Preference, lazy, hotdogs visible",1,,
Hot dogs,Lazy,Knows area,Hot dogs visible,Short,Pizza,2,Knows area,,,Must have really wanted a pizza today
Hot dogs,Lazy,Knows area,Pizza visible,Long,Hot dogs,2,Preference and knows area,,2,
Hot dogs,Lazy,Knows area,Pizza visible,Long,Pizza,5,Nothing,,,
Hot dogs,Lazy,Knows area,Pizza visible,Short,Hot dogs,7,Preference and knows area,1,,
Hot dogs,Lazy,Knows area,Pizza visible,Short,Pizza,7,"Lazy, pizza visible",,2,
Hot dogs,Sporty,Does not know area,Hot dogs visible,Long,Hot dogs,8,Sporty (preference and visibility much lesser),,2,
Hot dogs,Sporty,Does not know area,Hot dogs visible,Long,Pizza,2,Sporty,,,Must have not been hungry at the start
Hot dogs,Sporty,Does not know area,Hot dogs visible,Short,Hot dogs,2,Preference and hot dogs visible ,1,,
Hot dogs,Sporty,Does not know area,Hot dogs visible,Short,Pizza,7,Nothing,,,
Hot dogs,Sporty,Does not know area,Pizza visible,Long,Hot dogs,5,Sporty,,,Must have been v happy to find the hotdog stand
Hot dogs,Sporty,Does not know area,Pizza visible,Long,Pizza,9,Sporty and pizza visible,,2,Went round the block before coming back to pizza
Hot dogs,Sporty,Does not know area,Pizza visible,Short,Hot dogs,7,Sporty,,,
Hot dogs,Sporty,Does not know area,Pizza visible,Short,Pizza,9,"Pizza visible, don't know area",1,,
Hot dogs,Sporty,Knows area,Hot dogs visible,Long,Hot dogs,2,"Sporty, preference, hotdogs visible",1,,
Hot dogs,Sporty,Knows area,Hot dogs visible,Long,Pizza,7,"Sporty, knows area",,,Must have decided on pizza that day
Hot dogs,Sporty,Knows area,Hot dogs visible,Short,Hot dogs,2,Preference and hot dogs visible ,,2,Must be hungry
Hot dogs,Sporty,Knows area,Hot dogs visible,Short,Pizza,5,"Sporty, knows area",,,Must have decided on pizza that day
Hot dogs,Sporty,Knows area,Pizza visible,Long,Hot dogs,7,"Preference, sporty, knows area",1,,Knows there's hotdog round the corner
Hot dogs,Sporty,Knows area,Pizza visible,Long,Pizza,9,"Pizza visible (sporty, knows area?)",,,"Maybe thought there was a hotdog round the corner, found it wasn't there, came back for pizza second option"
Hot dogs,Sporty,Knows area,Pizza visible,Short,Hot dogs,9,"Preference, sporty, knows area",,2,Knows there's hotdog round the corner
Hot dogs,Sporty,Knows area,Pizza visible,Short,Pizza,8,"Pizza visible, hungry",,,
