"","condObs","node3","condition.x","sem.x","postces.x","postces_norm.x","cat.x","present_causes.x","condition.y","sem.y","postces.y","postces_norm.y","cat.y","present_causes.y","newProb","postces_norm","count","count_norm","Relevant","choice","condVerb","cause"
"1","0000","br_f=0",NA,NA,0,0,NA,NA,"c00000",FALSE,0.65741374476228,0.65741374476228,"Pizza","br",0,0.0321089791651748,NA,NA,"TRUE","ShortPizza","AbsentNoLazySee_pizza","br"
"2","0000","br_p=0","c00000",FALSE,0.072731618064032,0.072731618064032,"Short","br",NA,NA,0,0,NA,NA,0,0.0321089791651748,3,0.09375,"TRUE","ShortPizza","AbsentNoLazySee_pizza","br"
"3","0000","C=0","c00000",FALSE,0.426302360419073,0.426302360419073,"Short","C","c00000",FALSE,0.0267713998961701,0.0267713998961701,"Pizza","C",0.0114127109674603,0.314718286242036,20,0.625,"TRUE","ShortPizza","AbsentNoLazySee_pizza","C"
"4","0000","Cu=0","c00000",FALSE,0.0576479093393118,0.0576479093393118,"Short","Cu","c00000",FALSE,9.94398588138298e-11,9.94398588138298e-11,"Pizza","Cu",5.73249996561362e-12,0.0321089792019878,NA,NA,"TRUE","ShortPizza","AbsentNoLazySee_pizza","Cu"
"5","0000","Cu=1","c00000",FALSE,0.00962063450380423,0.00962063450380423,"Short","Cu","c00000",FALSE,0.026437508789861,0.026437508789861,"Pizza","Cu",0.000254345609258365,0.0337845919012746,NA,NA,"TRUE","ShortPizza","AbsentNoLazySee_pizza","Cu"
"6","0000","K=0","c00000",FALSE,0.0721168156571308,0.0721168156571308,"Short","K","c00000",FALSE,0.040099556269026,0.040099556269026,"Pizza","K",0.00289185230738609,0.0572544962958571,NA,NA,"TRUE","ShortPizza","AbsentNoLazySee_pizza","K"
"7","0000","Ku_f=0",NA,NA,0,0,NA,NA,"c00000",FALSE,0.0403399140786954,0.0403399140786954,"Pizza","Ku",0,0.0321089791651748,3,0.09375,"TRUE","ShortPizza","AbsentNoLazySee_pizza","Ku"
"8","0000","Ku_f=1",NA,NA,0,0,NA,NA,"c00000",FALSE,2.84753564873458e-06,2.84753564873458e-06,"Pizza","Ku",0,0.0321089791651748,NA,NA,"TRUE","ShortPizza","AbsentNoLazySee_pizza","Ku"
"9","0000","Ku_p=0","c00000",FALSE,0.071958935999449,0.071958935999449,"Short","Ku",NA,NA,0,0,NA,NA,0,0.0321089791651748,NA,NA,"TRUE","ShortPizza","AbsentNoLazySee_pizza","Ku"
"10","0000","Ku_p=1","c00000",FALSE,9.61972107715382e-11,9.61972107715382e-11,"Short","Ku",NA,NA,0,0,NA,NA,0,0.0321089791651748,1,0.03125,"TRUE","ShortPizza","AbsentNoLazySee_pizza","Ku"
"11","0000","P=0","c00000",FALSE,0.0716458406170301,0.0716458406170301,"Short","P","c00000",FALSE,0.0835364547572122,0.0835364547572122,"Pizza","P",0.00598503952324697,0.106287067807161,1,0.03125,"TRUE","ShortPizza","AbsentNoLazySee_pizza","P"
"12","0000","Pu_f=0",NA,NA,0,0,NA,NA,"c00000",FALSE,0.0324766704092226,0.0324766704092226,"Pizza","Pu",0,0.0321089791651748,1,0.03125,"TRUE","ShortPizza","AbsentNoLazySee_pizza","Pu"
"13","0000","Pu_f=1",NA,NA,0,0,NA,NA,"c00000",FALSE,0.00384382262166237,0.00384382262166237,"Pizza","Pu",0,0.0321089791651748,NA,NA,"TRUE","ShortPizza","AbsentNoLazySee_pizza","Pu"
"14","0000","Pu_p=0","c00000",FALSE,0.0615217986051983,0.0615217986051983,"Short","Pu",NA,NA,0,0,NA,NA,0,0.0321089791651748,NA,NA,"TRUE","ShortPizza","AbsentNoLazySee_pizza","Pu"
"15","0000","Pu_p=1","c00000",FALSE,0.0110193899547484,0.0110193899547484,"Short","Pu",NA,NA,0,0,NA,NA,0,0.0321089791651748,NA,NA,"TRUE","ShortPizza","AbsentNoLazySee_pizza","Pu"
"16","0000","S=0","c00000",FALSE,0.0727030787729391,0.0727030787729391,"Short","S","c00000",FALSE,0.0535320285540071,0.0535320285540071,"Pizza","S",0.0038919432888372,0.0699320721855351,NA,NA,"TRUE","ShortPizza","AbsentNoLazySee_pizza","S"
"17","0000","Su=0","c00000",FALSE,4.79089295276146e-09,4.79089295276146e-09,"Short","Su","c00000",FALSE,0.034259099910764,0.034259099910764,"Pizza","Su",1.6413168033043e-10,0.032108980219195,3,0.09375,"TRUE","ShortPizza","AbsentNoLazySee_pizza","Su"
"18","0000","Su=1","c00000",FALSE,0.0727316131801928,0.0727316131801928,"Short","Su","c00000",FALSE,0.00128695231601048,0.00128695231601048,"Pizza","Su",9.36021180294274e-05,0.0327157344952054,NA,NA,"TRUE","ShortPizza","AbsentNoLazySee_pizza","Su"
"19","0001","br_f=0",NA,NA,0,0,NA,NA,"c00010",FALSE,0.630319619689934,0.630319619689934,"Pizza","br",0,0.0334024599304095,NA,NA,"TRUE","ShortPizza","AbsentNoLazySee_hotdog","br"
"20","0001","br_p=0","c00010",FALSE,0.0725868958608994,0.0725868958608994,"Short","br",NA,NA,0,0,NA,NA,0,0.0334024599304095,2,0.0666666666666667,"TRUE","ShortPizza","AbsentNoLazySee_hotdog","br"
"21","0001","C=0","c00010",FALSE,0.428232919928587,0.428232919928587,"Short","C","c00010",FALSE,0.0261492631010155,0.0261492631010155,"Pizza","C",0.0111979752917287,0.313633343019203,10,0.333333333333333,"TRUE","ShortPizza","AbsentNoLazySee_hotdog","C"
"22","0001","Cu=0","c00010",FALSE,0.0576479065759818,0.0576479065759818,"Short","Cu","c00010",FALSE,1.00630756897146e-10,1.00630756897146e-10,"Pizza","Cu",5.80115247227703e-12,0.033402459969164,NA,NA,"TRUE","ShortPizza","AbsentNoLazySee_hotdog","Cu"
"23","0001","Cu=1","c00010",FALSE,0.00936657544154301,0.00936657544154301,"Short","Cu","c00010",FALSE,0.0268939378877,0.0268939378877,"Pizza","Cu",0.000251904098145314,0.0351284157160392,NA,NA,"TRUE","ShortPizza","AbsentNoLazySee_hotdog","Cu"
"24","0001","K=0","c00010",FALSE,0.0719350068570184,0.0719350068570184,"Short","K","c00010",FALSE,0.0406612242777772,0.0406612242777772,"Pizza","K",0.00292496544723667,0.0599567001379173,3,0.1,"TRUE","ShortPizza","AbsentNoLazySee_hotdog","K"
"25","0001","Ku_f=0",NA,NA,0,0,NA,NA,"c00010",FALSE,0.041221969862556,0.041221969862556,"Pizza","Ku",0,0.0334024599304095,2,0.0666666666666667,"TRUE","ShortPizza","AbsentNoLazySee_hotdog","Ku"
"26","0001","Ku_f=1",NA,NA,0,0,NA,NA,"c00010",FALSE,2.8722986570348e-06,2.8722986570348e-06,"Pizza","Ku",0,0.0334024599304095,NA,NA,"TRUE","ShortPizza","AbsentNoLazySee_hotdog","Ku"
"27","0001","Ku_p=0","c00010",FALSE,0.0718967112693937,0.0718967112693937,"Short","Ku",NA,NA,0,0,NA,NA,0,0.0334024599304095,NA,NA,"TRUE","ShortPizza","AbsentNoLazySee_hotdog","Ku"
"28","0001","Ku_p=1","c00010",FALSE,1.06421647413134e-10,1.06421647413134e-10,"Short","Ku",NA,NA,0,0,NA,NA,0,0.0334024599304095,NA,NA,"TRUE","ShortPizza","AbsentNoLazySee_hotdog","Ku"
