"","P","Pu","K","Ku","C","Cu","S","Su","br","sem","prior","uprior","condition","posterior"
"1",0,0,0,0,0,0,0,0,0,FALSE,9.22488891811912e-11,1.47598222689906e-09,"c00000",2.83064296854033e-09
"2",1,0,0,0,0,0,0,0,0,FALSE,9.22488891811912e-11,1.47598222689906e-09,"c10000",3.43141496004883e-09
"3",0,1,0,0,0,0,0,0,0,FALSE,1.95787845672427e-11,3.13260553075884e-10,"c00000",6.00771991508504e-10
"4",1,1,0,0,0,0,0,0,0,TRUE,1.95787845672427e-11,3.13260553075884e-10,"c10001",5.49713078846894e-10
"5",0,0,1,0,0,0,0,0,0,FALSE,9.22488891811912e-11,1.47598222689906e-09,"c01000",2.83100524420939e-09
"6",1,0,1,0,0,0,0,0,0,FALSE,9.22488891811912e-11,1.47598222689906e-09,"c11000",3.43185412463592e-09
"7",0,1,1,0,0,0,0,0,0,FALSE,1.95787845672427e-11,3.13260553075884e-10,"c01000",6.00848880426533e-10
"8",1,1,1,0,0,0,0,0,0,TRUE,1.95787845672427e-11,3.13260553075884e-10,"c11001",5.49659986629573e-10
"9",0,0,0,1,0,0,0,0,0,FALSE,1.18063381429017e-14,1.88901410286428e-13,"c00000",3.6227566906278e-13
"10",1,0,0,1,0,0,0,0,0,FALSE,1.18063381429017e-14,1.88901410286428e-13,"c10000",4.39164587091942e-13
"11",0,1,0,1,0,0,0,0,0,FALSE,2.50576189133152e-15,4.00921902613044e-14,"c00000",7.68889180291623e-14
"12",1,1,0,1,0,0,0,0,0,TRUE,2.50576189133152e-15,4.00921902613044e-14,"c10001",7.03542183331278e-14
"13",0,0,1,1,0,0,0,0,0,TRUE,1.18063381429017e-14,1.88901410286428e-13,"c01001",3.94665534332359e-13
"14",1,0,1,1,0,0,0,0,0,TRUE,1.18063381429017e-14,1.88901410286428e-13,"c11001",3.31454265890903e-13
"15",0,1,1,1,0,0,0,0,0,TRUE,2.50576189133152e-15,4.00921902613044e-14,"c01001",8.37633010152764e-14
"16",1,1,1,1,0,0,0,0,0,TRUE,2.50576189133152e-15,4.00921902613044e-14,"c11001",7.03474234039312e-14
