"","mindsCode","tag","response","index","digit1","digit2","digit3","digit4","digit5","digit6","X","left","right","condObs"
"1","M022949","t110101","They wanted to see if anything else was available.",1,1,1,0,1,0,1,"They wanted to see if anything else was available. _ Ku=1","They wanted to see if anything else was available.","Ku=1","1101"
"2","M022949","t111000","They couldn't see the hot dogs so went for the convenient option.",2,1,1,1,0,0,0,"They couldn't see the hot dogs so went for the convenient option. _ K=0","They couldn't see the hot dogs so went for the convenient option.","K=0","1110"
"3","M022949","t000100","They didn't like hot dogs so went to find something else.",4,0,0,0,1,0,0,"They didn't like hot dogs so went to find something else. _ P=0","They didn't like hot dogs so went to find something else.","P=0","0001"
"4","M022949","t100110","They love hot dogs so went straight there",5,1,0,0,1,1,0,"They love hot dogs so went straight there _ P=1","They love hot dogs so went straight there","P=1","1001"
"5","M022949","t010011","They wanted to go for a long walk",6,0,1,0,0,1,1,"They wanted to go for a long walk _ Cu=1","They wanted to go for a long walk","Cu=1","0100"
"6","M022949","t011010","They wanted a longer walk and knew there were hot dogs available",7,0,1,1,0,1,0,"They wanted a longer walk and knew there were hot dogs available _ Cu=1","They wanted a longer walk and knew there were hot dogs available","Cu=1","0110"
"7","M022949","t101111","They wanted to see what else was available",8,1,0,1,1,1,1,"They wanted to see what else was available _ Ku=1","They wanted to see what else was available","Ku=1","1011"
"8","M701443","t010110","Charlie can't be bothered walking to the pizza stand and goes to the closest stand which is the hot dog stand.",9,0,1,0,1,1,0,"Charlie can't be bothered walking to the pizza stand and goes to the closest stand which is the hot dog stand. _ C=0","Charlie can't be bothered walking to the pizza stand and goes to the closest stand which is the hot dog stand.","C=0","0101"
"9","M701443","t001100","He doesn't know that the pizza stand is round the corner.",10,0,0,1,1,0,0,"He doesn't know that the pizza stand is round the corner. _ K=0","He doesn't know that the pizza stand is round the corner.","K=0","0011"
"10","M701443","t100001","Harper walks past the hot dog stand as he is lazy and he didn't notice it.",11,1,0,0,0,0,1,"Harper walks past the hot dog stand as he is lazy and he didn't notice it. _ C=0","Harper walks past the hot dog stand as he is lazy and he didn't notice it.","C=0","1000"
"11","M701443","t111011","Taylor wants a hotdog.",12,1,1,1,0,1,1,"Taylor wants a hotdog. _ Pu=1","Taylor wants a hotdog.","Pu=1","1110"
"12","M701443","t011101","Drew knows where the pizza stand is but takes the longer route for some extra exercise before his pizza.",13,0,1,1,1,0,1,"Drew knows where the pizza stand is but takes the longer route for some extra exercise before his pizza. _ Cu=1","Drew knows where the pizza stand is but takes the longer route for some extra exercise before his pizza.","Cu=1","0111"
"13","M701443","t101010","His favourite food is hot dogs and went straight there.",14,1,0,1,0,1,0,"His favourite food is hot dogs and went straight there. _ P=1","His favourite food is hot dogs and went straight there.","P=1","1010"
"14","M701443","t000111","Adrian gets lost and ends up taking the longer route to the hot dog stand.",15,0,0,0,1,1,1,"Adrian gets lost and ends up taking the longer route to the hot dog stand. _ K=0","Adrian gets lost and ends up taking the longer route to the hot dog stand.","K=0","0001"
"15","M701443","t110000","Parker is too lazy to walk to the hotdog stand.",16,1,1,0,0,0,0,"Parker is too lazy to walk to the hotdog stand. _ C=0","Parker is too lazy to walk to the hotdog stand.","C=0","1100"
"16","M440728","t100000","They were too lazy to explore so just got pizza.",18,1,0,0,0,0,0,"They were too lazy to explore so just got pizza. _ C=0","They were too lazy to explore so just got pizza.","C=0","1000"
"17","M440728","t010101","He felt like going for a walk and wanted pizza.",19,0,1,0,1,0,1,"He felt like going for a walk and wanted pizza. _ Cu=1","He felt like going for a walk and wanted pizza.","Cu=1","0101"
"18","M440728","t111010","Hot dogs are their favourite food.",20,1,1,1,0,1,0,"Hot dogs are their favourite food. _ P=1","Hot dogs are their favourite food.","P=1","1110"
"19","M440728","t011100","His favourite food might be pizza.",21,0,1,1,1,0,0,"His favourite food might be pizza. _ P=0","His favourite food might be pizza.","P=0","0111"
"20","M440728","t000110","He may not have known pizza was just as close and was too lazy to find out.",22,0,0,0,1,1,0,"He may not have known pizza was just as close and was too lazy to find out. _ C=0","He may not have known pizza was just as close and was too lazy to find out.","C=0","0001"
