"","P","Pu","K","Ku","C","Cu","S","Su","br","PKu","PCu","PSu","KCu","KSu","CSu","PK","PC","PS","KC","KS","CS","sem","prior","condition","u_set","posterior","node","ces","node3"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,1.75179802324873e-05,"c00000",1,3.11258258809914e-05,"Cu",-0.00352435811418759,"Cu=0"
"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,6.48676621177968e-06,"c00000",9,1.15256412531004e-05,"Cu",-0.0051791625673567,"Cu=0"
"3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2.67592684208766e-05,"c00000",1,4.75456826938464e-05,"Cu",-0.00570406674845937,"Cu=0"
"4",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,9.90874038792305e-06,"c00000",9,1.76057812556767e-05,"Cu",-0.00151609530454522,"Cu=0"
"5",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,3.52808725626198e-05,"c00000",1,6.2686809879887e-05,"Cu",-0.00649341845891983,"Cu=0"
"6",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,1.30642213899114e-05,"c00000",9,2.32124180331588e-05,"Cu",0.000407315552406787,"Cu=0"
"7",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,5.38926478107935e-05,"c00000",1,9.57560831649697e-05,"Cu",0.000851053057882827,"Cu=0"
"8",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,1.99560110379666e-05,"c00000",9,3.54577021211021e-05,"Cu",-0.00718377379019351,"Cu=0"
"9",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,2.1794860871338e-05,"c00000",1,3.87249577621756e-05,"Cu",-0.00552984352879033,"Cu=0"
"10",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,8.07046047628518e-06,"c00000",9,1.43395382475899e-05,"Cu",-0.00480132914779016,"Cu=0"
"11",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,3.32923387577646e-05,"c00000",1,5.91535967955609e-05,"Cu",0.00120126745476257,"Cu=0"
"12",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,1.23278834259951e-05,"c00000",9,2.19040978415467e-05,"Cu",-0.00662785185566428,"Cu=0"
"13",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,4.38944272522748e-05,"c00000",1,7.79913141622583e-05,"Cu",-0.00806320432290892,"Cu=0"
"14",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,1.62537509351356e-05,"c00000",9,2.88795520263125e-05,"Cu",-0.000126643568825933,"Cu=0"
"15",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,6.70501248109631e-05,"c00000",1,0.000119134197120192,"Cu",0.000249310566249873,"Cu=0"
"16",0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,2.48281182160924e-05,"c00000",9,4.41144283924698e-05,"Cu",0.00265882317059907,"Cu=0"
"17",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,6.10143169574651e-05,"c00000",1,0.000108409815553036,"Cu",-0.00888183548283744,"Cu=0"
"18",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,2.25931074485694e-05,"c00000",9,4.01432767489115e-05,"Cu",0.00140380067613202,"Cu=0"
"19",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,9.32012973706516e-05,"c00000",1,0.000165599419301862,"Cu",-0.0126863637104536,"Cu=0"
"20",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,3.45116856312453e-05,"c00000",9,6.13201238705321e-05,"Cu",-0.00223232551101646,"Cu=0"
"21",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,0.000122881651452005,"c00000",1,0.000218335266754705,"Cu",-0.00843026442933871,"Cu=0"
"22",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,4.55020803830062e-05,"c00000",9,8.08477811042278e-05,"Cu",0.00042989245274209,"Cu=0"
"23",0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,0.000187705605986855,"c00000",1,0.000333514019955215,"Cu",-0.00652774439501788,"Cu=0"
"24",0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,6.95058657743604e-05,"c00000",9,0.000123497540646164,"Cu",-0.00251990870728602,"Cu=0"
"25",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,FALSE,7.59104949086276e-05,"c00000",1,0.000134877241309134,"Cu",-0.00573833286152391,"Cu=0"
"26",0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,FALSE,2.81090415080827e-05,"c00000",9,4.99439501615373e-05,"Cu",-0.00375627142537955,"Cu=0"
"27",0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,FALSE,0.000115955679950732,"c00000",1,0.000206029248586838,"Cu",-0.0070069058214402,"Cu=0"
"28",0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,FALSE,4.29374492256488e-05,"c00000",9,7.62909622362152e-05,"Cu",0.00212190167943512,"Cu=0"
"29",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,FALSE,0.000152882265049595,"c00000",1,0.000271640149096664,"Cu",-0.002105725547312,"Cu=0"
"30",0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,FALSE,5.6611064640027e-05,"c00000",9,0.000100586147349068,"Cu",0.00338223309001212,"Cu=0"
"31",0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,FALSE,0.000233532491358042,"c00000",1,0.000414938912311608,"Cu",-0.00568223920788192,"Cu=0"
"32",0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,FALSE,8.64751903010329e-05,"c00000",9,0.000153648518871138,"Cu",-0.00275571219389926,"Cu=0"
"33",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,2.88107276466563e-05,"c00000",5,5.11907012300106e-05,"Cu",-0.00173724282175761,"Cu=0"
"34",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,1.066837912561e-05,"c00000",13,1.89555021006547e-05,"Cu",-0.00517328610346304,"Cu=0"
"35",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,4.40092969775077e-05,"c00000",5,7.8195413894028e-05,"Cu",-0.00266767736580039,"Cu=0"
"36",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,1.62962862641238e-05,"c00000",13,2.89551285040974e-05,"Cu",-0.00261126754610103,"Cu=0"
"37",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,5.80242469193438e-05,"c00000",5,0.000103097079829888,"Cu",0.00465819388590452,"Cu=0"
"38",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,2.14859087283556e-05,"c00000",13,3.81760137355009e-05,"Cu",-0.00391444187262531,"Cu=0"
"39",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,8.86338708930874e-05,"c00000",5,0.000157484047587876,"Cu",-0.00949032188970238,"Cu=0"
