"","Preference","Knowledge","Character","Start","Path","Choice","p_long","p_hotdog","p_action","numtag","situTag","longHotdog","shortHotdog","longPizza","shortPizza"
"1","Absent","No","Lazy","Pizza","Short","Pizza",0.0288043926305364,0.150076650684633,0.825441823455826,"000000","0000",0.00432286677099604,0.145753783913637,0.0244815258595404,0.825441823455826
"2","Hotdog","No","Lazy","Pizza","Short","Pizza",0.0288043926305364,0.477016208947552,0.507919560595567,"100000","1000",0.0137401621736553,0.463276046773896,0.0150642304568811,0.507919560595567
"3","Absent","Yes","Lazy","Pizza","Short","Pizza",0.0434384559173688,0.226531664194164,0.739870065597454,"010000","0100",0.00984018570898638,0.216691478485177,0.0335982702083824,0.739870065597454
"4","Hotdog","Yes","Lazy","Pizza","Short","Pizza",0.0434384559173688,0.602046614866693,0.380666904556026,"110000","1100",0.026151975340088,0.575894639526605,0.0172864805772808,0.380666904556026
"5","Absent","No","Sporty","Pizza","Short","Pizza",0.367954987455635,0.355259363007132,0.407505103996019,"001000","0010",0.130719454458786,0.224539908548346,0.237235532996849,0.407505103996019
"6","Hotdog","No","Sporty","Pizza","Short","Pizza",0.367954987455635,0.740006049937193,0.164327879428906,"101000","1010",0.272288916821734,0.467717133115459,0.0956660706339011,0.164327879428906
"7","Absent","Yes","Sporty","Pizza","Short","Pizza",0.47128164304856,0.4775151752082,0.276247318095981,"011000","0110",0.225044136352742,0.252471038855458,0.246237506695819,0.276247318095981
"8","Hotdog","Yes","Sporty","Pizza","Short","Pizza",0.47128164304856,0.825202406284879,0.092418696548124,"111000","1110",0.388902745881564,0.436299660403316,0.0823788971669969,0.092418696548124
"9","Absent","No","Lazy","Hotdog","Short","Pizza",0.0288043926305364,0.537678435025038,0.449004673095859,"000100","0001",0.0154875007514336,0.522190934273604,0.0133168918791029,0.449004673095859
"10","Hotdog","No","Lazy","Hotdog","Short","Pizza",0.0288043926305364,0.857294691580815,0.138594768685017,"100100","1001",0.0246938528963684,0.832600838684447,0.004110539734168,0.138594768685017
